Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
536,299579287642597376,145.51643,1.0443355,GALAXY,,7.780983,-6.891632,1.863546,1.596916,0.7339987,1.282723
537,299579562050742272,145.35216,1.113849,GALAXY,,129.8425,24.11378,11.20292,68.5897,17.43145,10.10658
538,299579562520504320,145.35216,1.113849,GALAXY,,136.9447,32.28375,8.428411,70.65503,12.37728,7.368085
539,299579836928649216,145.54119,0.79539687,GALAXY,STARFORMING,232.78,59.26929,25.73311,73.96854,27.44852,9.242329
540,299580112276318208,145.40988,1.0265349,GALAXY,,4.314028,-5325.371,4.918892,10.6201,2.475156,-1.058297
541,299580386684463104,145.39045,0.9578064,GALAXY,,42.04133,-12.80161,3.302693,21.52349,16.5633,-5.287611
542,299580387154225152,145.22993,0.76255666,GALAXY,,41.8506,9.801526,12.05603,45.12023,7.261943,14.39063
543,299580661562370048,145.22993,0.76255666,GALAXY,,36.00869,13.16178,14.28554,40.87276,20.81187,18.34872
544,299580662032132096,145.33887,1.1966007,QSO,BROADLINE,0,377.9802,97.46069,0,0,14.71244
545,299580936440276992,145.20053,0.87098003,GALAXY,,28.84948,1.611386,2.25925,46.86481,16.20202,12.39431
546,299580936910039040,145.44311,0.82657169,GALAXY,,91.13182,12.05139,17.95284,48.99981,23.71851,5.742302
547,299581211318183936,145.40988,1.0265349,GALAXY,,7.61383,-8.602099,4.097497,4.060042,4.139805,4.784432
548,299581211787945984,145.34769,1.0774531,GALAXY,STARBURST,403.3705,103.2128,59.81681,97.73875,66.66057,12.23107
549,299581486196090880,145.32091,0.77109766,GALAXY,STARFORMING,346.4428,100.9622,116.8403,42.85109,52.01381,20.14148
550,299581486665852928,145.20053,0.87098003,GALAXY,,34.81096,8.443042,6.639428,42.54916,20.50936,6.446761
551,299582035951904768,145.29603,0.80159953,GALAXY,,9.259514,6.02746,5.912705,-2.786622,1.5522,7.612241E-05
552,299582036421666816,145.26325,0.99193054,GALAXY,STARFORMING,180.8174,41.71413,15.20661,65.8357,24.20495,9.161416
553,299582310829811712,145.50528,0.94505288,GALAXY,,0,1.879633,6.71356,0,0,0
554,299582311299573760,145.32091,0.77109766,GALAXY,STARFORMING,342.8454,102.3102,111.5933,39.23271,46.67073,13.74571
555,299582585707718656,145.19872,0.93266524,GALAXY,STARFORMING,320.2844,96.17793,142.5006,54.94217,43.11212,9.153207
556,299582586177480704,145.29603,0.80159953,GALAXY,,19.4764,4.653545,10.85526,-5.196966,3.173422,4.095982
557,299582860585625600,145.44311,0.82657169,GALAXY,,76.15373,21.52074,18.46233,46.30175,15.53776,17.55831
558,299582861055387648,145.23112,0.97446989,QSO,,0,0,0,0,0,0
559,299583135463532544,145.34123,0.54730699,GALAXY,STARFORMING,182.2564,36.87337,12.31442,70.92482,19.84421,4.00606
560,299583135933294592,145.34123,0.54730699,GALAXY,STARFORMING,174.8124,33.71523,18.5977,72.38217,19.18493,8.882089
561,299583410341439488,145.22038,0.41085475,GALAXY,,39.08885,12.68289,-0.6021832,31.9488,0.4953579,5.782961
562,299583410811201536,145.39406,0.35570036,GALAXY,,79.70974,12.67162,6.13351,40.98183,9.38998,2.700569
563,299583685689108480,145.34252,0.6228342,GALAXY,STARFORMING,191.7118,38.70327,11.0809,94.17024,22.31417,3.268536
564,299583960097253376,145.39406,0.35570036,GALAXY,,80.05003,13.63703,1.96895,33.74992,11.42916,5.94261
565,299584234975160320,145.33843,0.27131682,GALAXY,,13.86654,-2.655702,-0.3585532,-4.113381,-1.581585,3.105679
566,299584235444922368,145.30472,0.56238456,GALAXY,,163.1782,-43.67038,5.640034,70.94817,13.10721,-2.982097
567,299584509853067264,145.34252,0.6228342,GALAXY,,192.3861,48.81434,7.104698,89.85516,13.95318,7.881928
568,299585059608881152,145.28856,0.34651307,GALAXY,STARFORMING,150.8795,41.94273,10.49616,47.3739,20.37406,1.572095
569,299585060078643200,145.31181,0.50329966,GALAXY,,5.834475,-2.207757,4.42942,3.251625,6.028741,-0.01491365
570,299585334486788096,145.30472,0.56238456,GALAXY,,160.6902,5.665543,6.483778,64.30032,11.89849,3.550623
571,299585334956550144,145.32998,0.1754678,GALAXY,AGN,15.11413,5.460364,14.43283,16.10177,1.414492,1.964555
572,299585609364695040,145.31181,0.50329966,GALAXY,,7.374039,1.15677,6.151581,8.895528,2.93872,-0.03445179
573,299585609834457088,145.22038,0.41085475,GALAXY,,30.50418,5.191631,18.0466,25.82727,5.28261,1.442492
574,299585884242601984,145.21869,0.14700021,GALAXY,STARFORMING,66.51695,16.84094,8.841463,28.11454,3.184514,-1.273652
575,299586159590270976,145.29315,0.30617839,GALAXY,,0.3249715,-1.165168,-1.099812,2.885372,3.358596,4.061016
576,299586433998415872,145.32998,0.1754678,GALAXY,,20.47094,6.027894,9.570147,20.70119,9.972689,6.638076
577,299586434468177920,145.38704,0.12528484,QSO,BROADLINE,0,96.36183,91.9711,0,0,0
578,299586709346084864,145.19382,0.16887025,GALAXY,,11.50861,2.577085,12.3405,16.66063,5.406518,-1.391675
579,299586983754229760,145.25193,0.12645211,GALAXY,,5.89005,-0.009867481,5.018988,0.1885415,-0.6192109,0.3610524
580,299586984223991808,145.25193,0.12645211,GALAXY,,11.15029,4.939748,2.750407,5.117707,-9.556558,3.010372
581,299587258632136704,145.2499,0.26180076,GALAXY,,56.32693,11.50674,1.509153,15.70364,9.133705,8.261893
582,299587259101898752,145.33843,0.27131682,GALAXY,,1.60635,-1.493692,-0.4707884,0.6373617,-7.333715,1.040346
583,299587533510043648,145.29315,0.30617839,GALAXY,,5.260196,-0.8685639,-1.266892,-2.889331,-3.463491,-5.352775
584,299587533979805696,145.35763,0.40107963,QSO,,0,0,0,0,0,0
585,299587808387950592,145.19382,0.16887025,GALAXY,,8.31228,1.521163,20.06775,14.13778,8.878679,-1.352656
586,299587808857712640,145.2499,0.26180076,GALAXY,,55.59976,11.29969,-1.037978,18.3238,6.124572,-0.4816456
587,299588083735619584,145.28856,0.34651307,GALAXY,STARFORMING,155.0861,32.05624,12.76922,46.9244,23.14065,3.646628
588,299588358143764480,145.38704,0.12528484,QSO,BROADLINE,0,92.29968,94.96666,0,0,0
589,299588358613526528,145.21869,0.14700021,GALAXY,,60.68333,15.07073,4.369401,28.06854,9.339371,0.1874749
590,299588633021671424,145.7134,1.167356,GALAXY,STARBURST,351.0885,69.99231,26.8173,94.00083,46.65366,0.9952497
591,299588633491433472,145.60223,1.1496867,GALAXY,,0,-2.49946,1.302981,0,0,0.5139086
592,299588908369340416,145.86812,0.82938446,GALAXY,,58.58734,14.63386,10.09232,42.82106,6.245495,7.357879
593,299589183247247360,145.80749,0.94992811,GALAXY,,118.3999,17.79098,-0.1448289,70.19587,17.23153,8.006433
594,299590007880968192,145.86626,1.1416569,GALAXY,,9.403674,2.159893,7.129414,15.27952,1.423272,10.78907
595,299590282289113088,145.66358,0.97364599,GALAXY,STARFORMING,593.6245,131.298,32.90906,235.4493,61.51342,18.22377
596,299590282758875136,145.85052,1.203525,GALAXY,,14.86379,-3.50996,44.01474,-9.08233,-14.30053,5.791696
597,299590557167020032,145.79341,1.1856538,GALAXY,,119.5515,11.91039,48.33851,121.1176,64.52798,32.72592
598,299590832044926976,145.80749,0.94992811,GALAXY,,106.7078,13.50109,7.876357,73.97807,20.43631,20.87285
599,299590832514689024,145.5446,0.93933415,GALAXY,,24.82665,1.884485,5.746015,24.79143,5.481122,3.15166
600,299591106922833920,145.59891,0.84379434,GALAXY,,87.63958,0.8943067,-0.9780776,10.08427,15.20578,4.393089
601,299591107392595968,145.61284,0.97233302,GALAXY,STARFORMING,404.0885,106.4664,53.55283,130.4489,67.6757,10.49228
602,299591381800740864,145.84294,0.74785818,GALAXY,,55.86353,8.303477,21.03224,29.22874,6.560751,2.965951
