Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
640,299584785200736256,145.26257,0.31093104,STAR,M3,39.70552,12.04295,-11.55699,17.91731,-14.43493,1.889447
641,299585059608881152,145.28856,0.34651307,GALAXY,STARFORMING,150.8795,41.94273,10.49616,47.3739,20.37406,1.572095
642,299585060078643200,145.31181,0.50329966,GALAXY,,5.834475,-2.207757,4.42942,3.251625,6.028741,-0.01491365
643,299585334486788096,145.30472,0.56238456,GALAXY,,160.6902,5.665543,6.483778,64.30032,11.89849,3.550623
644,299585334956550144,145.32998,0.1754678,GALAXY,AGN,15.11413,5.460364,14.43283,16.10177,1.414492,1.964555
645,299585609364695040,145.31181,0.50329966,GALAXY,,7.374039,1.15677,6.151581,8.895528,2.93872,-0.03445179
646,299585609834457088,145.22038,0.41085475,GALAXY,,30.50418,5.191631,18.0466,25.82727,5.28261,1.442492
647,299585884242601984,145.21869,0.14700021,GALAXY,STARFORMING,66.51695,16.84094,8.841463,28.11454,3.184514,-1.273652
648,299586159590270976,145.29315,0.30617839,GALAXY,,0.3249715,-1.165168,-1.099812,2.885372,3.358596,4.061016
649,299586433998415872,145.32998,0.1754678,GALAXY,,20.47094,6.027894,9.570147,20.70119,9.972689,6.638076
650,299586434468177920,145.38704,0.12528484,QSO,BROADLINE,0,96.36183,91.9711,0,0,0
651,299586709346084864,145.19382,0.16887025,GALAXY,,11.50861,2.577085,12.3405,16.66063,5.406518,-1.391675
652,299586983754229760,145.25193,0.12645211,GALAXY,,5.89005,-0.009867481,5.018988,0.1885415,-0.6192109,0.3610524
653,299586984223991808,145.25193,0.12645211,GALAXY,,11.15029,4.939748,2.750407,5.117707,-9.556558,3.010372
654,299587258632136704,145.2499,0.26180076,GALAXY,,56.32693,11.50674,1.509153,15.70364,9.133705,8.261893
655,299587259101898752,145.33843,0.27131682,GALAXY,,1.60635,-1.493692,-0.4707884,0.6373617,-7.333715,1.040346
656,299587533510043648,145.29315,0.30617839,GALAXY,,5.260196,-0.8685639,-1.266892,-2.889331,-3.463491,-5.352775
657,299587533979805696,145.35763,0.40107963,QSO,,0,0,0,0,0,0
658,299587808387950592,145.19382,0.16887025,GALAXY,,8.31228,1.521163,20.06775,14.13778,8.878679,-1.352656
659,299587808857712640,145.2499,0.26180076,GALAXY,,55.59976,11.29969,-1.037978,18.3238,6.124572,-0.4816456
660,299588083265857536,145.26257,0.31093104,STAR,M3,51.91206,2.227813,-5.704532,2.066333,-3.216552,0.1637442
661,299588083735619584,145.28856,0.34651307,GALAXY,STARFORMING,155.0861,32.05624,12.76922,46.9244,23.14065,3.646628
662,299588358143764480,145.38704,0.12528484,QSO,BROADLINE,0,92.29968,94.96666,0,0,0
663,299588358613526528,145.21869,0.14700021,GALAXY,,60.68333,15.07073,4.369401,28.06854,9.339371,0.1874749
664,299588633021671424,145.7134,1.167356,GALAXY,STARBURST,351.0885,69.99231,26.8173,94.00083,46.65366,0.9952497
665,299588633491433472,145.60223,1.1496867,GALAXY,,0,-2.49946,1.302981,0,0,0.5139086
666,299588907899578368,145.56677,0.99523194,STAR,F5,-4.946795,42.90406,-12.42822,5.549917,-4.880868,0.3367783
667,299588908369340416,145.86812,0.82938446,GALAXY,,58.58734,14.63386,10.09232,42.82106,6.245495,7.357879
668,299589183247247360,145.80749,0.94992811,GALAXY,,118.3999,17.79098,-0.1448289,70.19587,17.23153,8.006433
669,299589457655392256,145.84875,0.92608405,STAR,WD,1.333117,3.006299,10.01656,-19.96126,4.172554,1.265581
670,299589458125154304,145.7304,1.1649383,STAR,G2,-53.90863,-27.00638,-2.476577,-12.76774,16.40301,-8.686278
671,299589732533299200,145.7304,1.1649383,STAR,G2,-42.29876,-39.17868,10.4666,-6.716236,5.426259,25.99852
672,299589733003061248,145.84875,0.92608405,STAR,WD,2.332063,5.727834,13.65236,-8.032754,0.6068145,-2.953673
673,299590007880968192,145.86626,1.1416569,GALAXY,,9.403674,2.159893,7.129414,15.27952,1.423272,10.78907
674,299590282289113088,145.66358,0.97364599,GALAXY,STARFORMING,593.6245,131.298,32.90906,235.4493,61.51342,18.22377
675,299590282758875136,145.85052,1.203525,GALAXY,,14.86379,-3.50996,44.01474,-9.08233,-14.30053,5.791696
676,299590557167020032,145.79341,1.1856538,GALAXY,,119.5515,11.91039,48.33851,121.1176,64.52798,32.72592
677,299590832044926976,145.80749,0.94992811,GALAXY,,106.7078,13.50109,7.876357,73.97807,20.43631,20.87285
678,299590832514689024,145.5446,0.93933415,GALAXY,,24.82665,1.884485,5.746015,24.79143,5.481122,3.15166
679,299591106922833920,145.59891,0.84379434,GALAXY,,87.63958,0.8943067,-0.9780776,10.08427,15.20578,4.393089
680,299591107392595968,145.61284,0.97233302,GALAXY,STARFORMING,404.0885,106.4664,53.55283,130.4489,67.6757,10.49228
681,299591381800740864,145.84294,0.74785818,GALAXY,,55.86353,8.303477,21.03224,29.22874,6.560751,2.965951
682,299591382270502912,145.59891,0.84379434,GALAXY,,18.3382,6.17617,-1.798602,2.94357,1.805989,0.4413136
683,299591656678647808,145.67367,0.94780421,QSO,BROADLINE,0,50.9057,496.5276,0,0,0
684,299591657148409856,145.84294,0.74785818,GALAXY,,66.95496,9.366003,15.62463,36.37386,8.677031,2.090163
685,299591931556554752,145.61284,0.97233302,GALAXY,STARFORMING,395.2715,106.1972,58.85557,131.1818,66.31698,9.373138
686,299591932026316800,145.79341,1.1856538,GALAXY,AGN,133.8752,21.15593,46.37664,138.9239,66.47538,46.53567
687,299592206434461696,145.86812,0.82938446,GALAXY,,59.31889,6.426092,7.276679,34.05165,8.110294,6.601654
688,299592206904223744,145.64213,0.97197048,GALAXY,,53.64807,12.35284,5.664312,15.0836,5.145792,1.589613
689,299592481312368640,145.64213,0.97197048,GALAXY,,51.88493,12.61961,5.496216,18.72568,15.8145,-5.41189
690,299592481782130688,145.7134,1.167356,GALAXY,,0,72.68593,26.1153,0,0,7.775146
691,299592756190275584,145.85052,1.203525,GALAXY,,11.65633,5.826772,20.95782,7.808607,-0.0890441,-6.030037
692,299592756660037632,145.56952,0.75237106,GALAXY,,-0.03877715,-0.162485,-0.5189327,0.3957209,0,0
693,299593031068182528,145.56952,0.75237106,QSO,,0,10.741,-5.307638,0,0,3.704163
694,299593031537944576,145.59509,1.0056251,GALAXY,,0,0.8803274,4.449273,0,0,-1.500389
695,299593306415851520,145.56677,0.99523194,STAR,F5,30.64184,43.54395,-2.925012,4.394728,2.654214,87.77574
