Row#;specobjid;ra;dec;class;subclass;h_alpha_flux;h_beta_flux;oiii_5007_flux;nii_6584_flux;sii_6731_flux;oi_6300_flux
1284;300642515017558000.0;14837166.0;-.850;STAR;WD;3564499.0;8253821.0;1007179.0;-1609908.0;462539.0;540894.0
1285;300642789895464000.0;14823213.0;-.864;GALAXY;;7008194.0;2463052.0;5040792.0;9326361.0;7670645.0;.869
1286;300643064773371000.0;14876817.0;-.221;STAR;F9;-1723141.0;-1536993.0;1248916.0;-8417648.0;2832671.0;1444444.0
1287;300643339651278000.0;14890844.0;.009;GALAXY;;1846354.0;6120225.0;5991824.0;6916154.0;-.327;218766.0
1288;300643614529185000.0;14885664.0;-.059;GALAXY;;2212747.0;1160925.0;2269796.0;3370086.0;7509438.0;3261212.0
1289;300643889407092000.0;14875351.0;-.596;GALAXY;;.0;2729841.0;1061664.0;.0;.0;.0
1290;300644164284999000.0;14887361.0;-.291;GALAXY;STARFORMING;1640225.0;4568753.0;1309859.0;7449374.0;2251017.0;4264278.0
1291;300644439162906000.0;1488793.0;-.097;STAR;L5.5;.0;.0;.0;.0;.0;.0
1292;300644714040813000.0;14897947.0;-.190;GALAXY;;4914135.0;1850891.0;2985291.0;290288.0;1464355.0;5877972.0
1293;300644988918720000.0;14884251.0;-.044;GALAXY;;3985722.0;1140655.0;1545034.0;2843416.0;1002698.0;7292691.0
1294;300645263796627000.0;14888621.0;-.037;GALAXY;;.0;.184;-2190338.0;.0;.0;1640154.0
1295;300645538674534000.0;14887996.0;-.467;GALAXY;;2617759.0;3970655.0;1747606.0;3154191.0;-2355865.0;-1138145.0
1296;300645813552441000.0;14879165.0;-.021;GALAXY;STARFORMING;1446992.0;1752187.0;1252802.0;6160482.0;1852033.0;1083084.0
1297;300646088430348000.0;14895363.0;-.097;GALAXY;;1727767.0;5032314.0;3974197.0;3257426.0;-984585.0;1476977.0
1298;300646363308255000.0;1489724.0;.095;GALAXY;STARFORMING;1299941.0;3222066.0;2152588.0;4602188.0;1869729.0;4248509.0
1299;300646638186162000.0;14884821.0;-.587;GALAXY;;324797.0;1247849.0;667525.0;3101748.0;118983.0;7552783.0
1300;300646913064069000.0;14884264.0;-.079;GALAXY;STARFORMING;7234141.0;1822849.0;128526.0;2866508.0;7102784.0;2690298.0
1301;300647187941976000.0;14887511.0;-.064;GALAXY;;.0;-3100146.0;.290;.0;.0;2632249.0
1302;300647462819883000.0;14877557.0;-.141;GALAXY;;4742265.0;7722236.0;.747;-.651;1868736.0;2137906.0
1303;300647737697789000.0;14881068.0;.165;GALAXY;STARFORMING;7358038.0;1614286.0;1240919.0;3405907.0;1935468.0;4169881.0
1304;300648012575696000.0;14895481.0;-.002;GALAXY;STARFORMING;1724987.0;4660953.0;2757891.0;763737.0;2250166.0;6795134.0
1305;300648287453603000.0;14891534.0;-.097;GALAXY;;124343.0;6963444.0;7418313.0;1540501.0;4393405.0;437883.0
1306;300648562331510000.0;14813724.0;-11731878.0;GALAXY;;1023307.0;1375203.0;1458524.0;2252829.0;-8402428.0;5090205.0
