Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
10736,318758624241412096,175.99841,0.42799942,GALAXY,STARFORMING,261.8529,76.26208,36.27531,74.62898,45.68198,15.33968
10737,318759173997225984,175.93356,0.033991641,GALAXY,STARBURST,786.3844,168.9097,111.7183,242.674,95.0045,22.14784
10738,318759448875132928,176.0317,-0.047366109,GALAXY,,27.55948,12.26222,5.264019,-0.6080224,2.699601,3.129403
10739,318759998630946816,176.02834,0.18061368,GALAXY,,19.48367,7.02631,5.66168,11.98181,3.565884,2.391365
10740,318760823264667648,175.93801,-0.096372696,GALAXY,,6.264835,1.839517,-1.12842,6.218808,4.632266,-1.771574
10741,318761098142574592,175.88884,0.028365261,GALAXY,,16.61986,-0.7518509,8.725207,16.37045,6.187194,1.529881
10742,318761373020481536,175.84551,0.012344866,GALAXY,,2.554297,6.860754,2.936189,0.03862148,0.696918,2.803377
10743,318761922776295424,176.24823,0.33720986,GALAXY,STARFORMING,266.2888,75.61804,74.69952,54.76629,50.83315,10.59527
10744,318762197654202368,176.42482,0.39264397,GALAXY,,0.1895334,-1.919041,0.9923418,4.374579,1.898092,-0.8868666
10745,318762472532109312,176.36567,0.15500713,GALAXY,,3.33945,4.377313,-1.88868,-2.671327,1.647868,0.9882873
10746,318762747410016256,176.13786,0.34345446,GALAXY,,12.38254,3.656217,3.40014,10.8879,2.783262,2.809701
10747,318763022287923200,176.18676,0.22967607,GALAXY,,0,0.8141017,1.534864,0,0,0
10748,318763297165830144,176.27909,0.090839809,GALAXY,,30.66006,3.761765,5.929632,23.35629,5.316478,3.571296
10749,318763572043737088,176.38534,0.17186513,GALAXY,STARBURST,429.766,92.0216,16.32192,160.3424,44.42124,9.385299
10750,318764121799550976,176.25227,0.31002506,GALAXY,,35.43908,7.610398,4.559719,25.47501,9.450356,1.751806
10751,318764396677457920,176.39496,0.15237933,GALAXY,,20.97821,6.506818,3.685184,12.12829,2.17792,3.408077
10752,318764946433271808,176.32377,-0.10603089,GALAXY,,39.63698,12.39569,-2.103247,13.48277,0.04240635,1.716793
10753,318765221311178752,176.09948,0.046139343,GALAXY,,-2.074483,2.209801,5.701902,4.485879,10.33594,-4.576697
10754,318765496189085696,176.39832,0.019039535,GALAXY,STARFORMING,359.168,70.94963,32.51727,268.98,68.89949,23.59943
10755,318765771066992640,176.23768,0.060859162,GALAXY,,9.834029,14.62739,10.06503,-4.482383,3.474631,1.443009
10756,318766045944899584,176.3596,0.004063787,GALAXY,STARBURST,3858.455,972.2564,748.4199,1035.608,515.2163,64.08985
10757,318766320822806528,176.31677,0.1647443,GALAXY,,8.582047,2.26714,3.137531,6.495388,3.734451,-0.5854504
10758,318766595700713472,176.44823,0.26758193,GALAXY,,4.730133,2.341352,3.561083,0.3150447,1.641718,1.535164
10759,318766870578620416,176.30724,-0.10116234,GALAXY,,38.84137,8.970555,2.51124,32.37694,11.33632,1.194066
10760,318767970090248192,176.74268,0.21435777,GALAXY,,21.99241,7.904599,3.69629,-20.06829,-15.6259,7.51112
10761,318768244968155136,176.63162,0.42550324,GALAXY,,24.44052,6.53701,9.873373,31.78498,4.264164,-3.153173
10762,318768519846062080,176.6016,0.40134879,GALAXY,,29.72363,7.545348,17.69391,19.68625,10.34904,0.8187389
10763,318769069601875968,176.49808,0.28777824,GALAXY,,-8.798515,0.8460928,-0.9776533,6.903041,-6.224257,-3.429193
10764,318769619357689856,176.76155,0.34408292,GALAXY,,26.01482,10.52462,13.78852,15.53515,2.823933,0.4439669
10765,318769894235596800,176.75126,0.24789979,GALAXY,,18.32794,4.88676,17.31223,21.38294,5.239091,4.982528
10766,318770169113503744,176.68317,-0.088655958,GALAXY,,5.377244,0.1670339,1.902115,-1.365193,1.84796,1.749004
10767,318770443991410688,176.50959,0.027757251,GALAXY,,28.66001,8.56319,11.49555,30.23958,12.58027,6.911995
10768,318770718869317632,176.76343,0.18007611,GALAXY,,38.25748,10.34128,11.45898,44.04558,9.864682,7.181029
10769,318770993747224576,176.59144,0.082908183,GALAXY,STARFORMING,233.9291,51.13372,8.233898,105.7025,24.41772,6.684328
10770,318771268625131520,176.69811,0.027153028,GALAXY,BROADLINE,0,1.533926,0.4579736,-741.0866,0,0.1213375
10771,318771543503038464,176.77161,-0.026459958,GALAXY,STARFORMING,652.2822,104.9479,120.9282,422.3202,86.78646,36.24417
10772,318771818380945408,176.66685,-0.11006793,GALAXY,,40.85735,0.1861315,34.57131,21.2874,4.690945,4.249288
10773,318772093258852352,176.56211,0.47133169,GALAXY,,0,0.6098932,2.69382,0,0,6.868654
10774,318772643014666240,176.54493,0.037091938,GALAXY,,35.12678,10.28595,1.719242,11.76712,1.65928,0.7024325
10775,318772917892573184,176.27345,1.1719487,GALAXY,STARFORMING,83.42036,24.87541,46.02303,10.40739,13.10999,3.545904
10776,318773192770480128,176.10964,0.95790615,GALAXY,,140.8421,33.90158,2.283878,43.19217,15.27011,1.9794
10777,318773467648387072,176.07371,1.2384896,GALAXY,,5.642905,4.580758,4.681352,1.400089,-12.09739,-1.102497
10778,318773742526294016,176.14706,1.0778534,GALAXY,,30.13951,9.32023,8.082226,23.21183,-1.255384,-0.2223373
10779,318774017404200960,176.25313,1.1183289,GALAXY,,83.81181,17.92567,1.960093,39.68031,11.05097,0.5703642
10780,318774292282107904,176.30976,1.0915656,GALAXY,,36.41816,9.033092,9.483152,9.94288,-2.591161,6.619273
10781,318774567160014848,176.29328,1.1823041,QSO,BROADLINE,0,81.0076,170.8824,0,0,0
10782,318774842037921792,176.06493,0.86354052,GALAXY,STARFORMING,307.6081,50.60791,15.45877,113.5266,28.21854,10.40963
10783,318775116915828736,176.10865,1.1876125,GALAXY,,117.4195,31.41902,1.585351,38.51527,12.44568,5.251803
10784,318775391793735680,176.20909,1.0253088,GALAXY,STARFORMING,85.2976,20.37234,8.663998,29.02759,4.63321,2.788566
10785,318775666671642624,176.04721,0.92252567,GALAXY,,0.4864057,0.2746953,-0.03340122,3.679949,-7.7509,2.06156
10786,318775941549549568,176.21412,0.75803437,GALAXY,STARFORMING,142.3417,33.27153,8.668859,52.03304,17.71112,7.38417
10787,318776216427456512,176.16409,0.74958274,GALAXY,STARFORMING,105.1303,22.4868,20.98334,59.5214,19.53929,5.943209
10788,318776491305363456,176.04454,1.0349233,GALAXY,,9.898299,4.874607,6.170846,12.53771,6.111163,-0.3415456
10789,318777041061177344,176.22102,0.93965638,GALAXY,,21.46892,39.03566,14.49196,1.797767,-6.890647,-4.111323
10790,318777315939084288,176.12184,0.76704744,GALAXY,,18.73611,7.727359,8.185452,11.40508,6.065981,0.9570707
10791,318777865694898176,176.17394,0.73769202,GALAXY,,4.402729,6.885788,4.913369,4.773683,-7.926623,3.007833
10792,318778140572805120,176.18586,0.65652184,GALAXY,STARFORMING,63.02346,18.21425,9.155016,35.9626,9.327357,3.054557
10793,318778690328619008,176.83008,0.56422042,QSO,BROADLINE,173.1013,48.52146,167.5336,38.50719,4.410519,7.498876
10794,318778965206525952,176.90774,0.21692857,QSO,,0,19.63777,-3.100033,0,0,0
10795,318779240084432896,176.91333,0.25794504,GALAXY,STARFORMING,274.9348,62.15508,15.06,83.97948,33.9087,7.093837
10796,318779514962339840,176.87093,0.31787636,GALAXY,,0.5081421,-0.06218484,4.98527,8.026196,-2.112483,-4.569416
10797,318779789840246784,176.93616,0.38095305,GALAXY,,34.55146,9.252981,1.546771,30.67088,7.637486,-0.8518491
10798,318780064718153728,176.80664,0.57590924,GALAXY,,11.07135,9.435719,6.853805,18.7595,-2.995429,1.611584
10799,318780339596060672,176.84514,0.45107793,GALAXY,STARBURST,451.5622,118.7752,151.2431,82.76548,57.72787,11.48605
10800,318780614473967616,176.87735,0.19364529,GALAXY,,30.25467,5.1215,4.972363,11.83103,0.201547,-0.2647722
10801,318782263741409280,176.80058,0.11002202,GALAXY,,33.7395,9.389578,9.272071,33.34173,5.166078,2.353635
10802,318782538619316224,176.87485,0.098599379,GALAXY,,-1.545175,0.5013336,-1.486338,0.9605263,0,584147.2
10803,318782813497223168,176.91311,0.029877219,GALAXY,,35.10472,7.938292,5.219297,13.42525,0.4418859,1.884272
10804,318783363253037056,176.97175,0.0064841064,GALAXY,STARFORMING,239.2995,63.06319,40.3899,118.582,29.33068,13.36882
10805,318784462764664832,176.76185,1.1174106,GALAXY,,106.0817,27.16917,6.654675,54.44077,13.64626,0.9904739
10806,318784737642571776,176.779,0.80634806,GALAXY,,22.83186,5.891511,9.343369,15.28671,6.276107,4.231471
10807,318785012520478720,176.80481,1.0585507,GALAXY,STARFORMING,320.3828,75.04582,23.16528,125.5766,37.51535,5.864089
10808,318785287398385664,176.77405,0.71544985,GALAXY,,17.22286,5.683049,7.761439,13.77602,4.294167,1.651742
10809,318785562276292608,176.47741,1.0997149,GALAXY,,64.94561,14.58288,3.204111,36.15866,7.894083,0.2251739
10810,318786112032106496,176.72092,1.0464762,GALAXY,STARBURST,511.8462,138.6256,79.19442,157.7686,0,14.84373
10811,318786936665827328,176.70558,0.89610363,GALAXY,STARBURST,849.5434,292.9207,2033.688,6.956539,14.94847,3.449119
10812,318787211543734272,176.80702,0.70371701,GALAXY,STARFORMING,269.6436,65.00826,19.25965,88.81866,37.26231,8.05113
10813,318787486421641216,176.43068,0.67397816,GALAXY,STARFORMING,133.9096,34.67238,26.2725,26.79985,19.14683,2.387356
10814,318787761299548160,176.79221,1.1240156,GALAXY,,305.8402,2.190745,4.741175,18.29664,-13.91261,2.383991
10815,318788311055362048,176.77505,0.63568269,GALAXY,,59.47735,20.23709,12.78121,59.69905,28.07386,8.815836
10816,318788585933268992,176.67171,0.94743978,GALAXY,,-6.642496,1.715008,0.657013,-2.143025,0,4.719853
10817,318788860811175936,176.80094,0.96126532,GALAXY,,22.17878,3.64916,5.561678,16.0817,8.347267,4.293902
10818,318789410566989824,177.02245,0.21010791,GALAXY,STARFORMING,414.6323,83.67803,29.66722,157.2643,44.83084,6.863265
10819,318789685444896768,177.19001,0.44489541,GALAXY,,0,4.325006,36.94934,0,0,0
10820,318789960322803712,177.07068,0.50926506,GALAXY,,54.08759,13.2815,12.58408,17.56163,12.8968,-7.91604
10821,318790235200710656,177.07839,0.59331246,GALAXY,STARFORMING,241.1642,59.1039,21.39669,82.88297,33.70416,4.707772
10822,318790510078617600,177.13785,0.47242847,GALAXY,,25.2466,9.927703,8.704449,27.675,7.89146,1.736913
10823,318790784956524544,177.18379,0.42666028,GALAXY,STARFORMING,163.3051,32.26671,12.36768,58.71407,13.94654,8.179312
10824,318791059834431488,177.13456,0.5114437,GALAXY,STARBURST,392.3133,94.35547,50.0794,112.1931,54.75636,12.03534
10825,318791334712338432,177.19785,0.46645741,GALAXY,,95.59984,22.29473,2.893918,30.35153,7.323376,4.289103
10826,318791609590245376,177.05965,0.076740917,GALAXY,,5.830954,5.591517,3.30247,4.057033,-3.029636,-1.202552
10827,318791884468152320,177.00996,0.51879511,GALAXY,,1.036357,-3.424233,-0.6655675,3.226107,2.711673,3.335712
10828,318792434223966208,177.11463,0.1745729,GALAXY,,22.85684,8.408422,6.960877,13.6417,4.498089,1.959125
10829,318792709101873152,177.16529,0.028958508,GALAXY,STARFORMING,96.67068,23.7581,9.355067,35.4012,12.74578,2.28677
10830,318793258857687040,177.13588,0.23089136,GALAXY,STARFORMING,131.6156,26.28679,21.83965,47.5487,21.0302,10.44598
10831,318793533735593984,177.14231,0.32010191,GALAXY,STARFORMING,224.7226,58.75946,18.8041,71.98114,31.67836,4.004578
10832,318793808613500928,177.18478,0.25652604,GALAXY,,2.927183,5.320482,2.407745,-1.398612,0.4737386,-3.539275
10833,318794358369314816,176.97581,-0.1078778,GALAXY,,10.73294,7.490638,0.3559134,-0.9433487,-3.679152,-0.4397146
10834,318794633247221760,177.06639,-0.057898585,GALAXY,AGN,118.609,31.96083,151.4801,100.2728,21.99845,6.746988
10835,318794908125128704,176.81239,0.9764691,GALAXY,,19.61182,0.578272,0.9698857,7.831532,2.215784,0.1147273
10836,318795183003035648,177.20034,0.77423716,GALAXY,STARFORMING,76.60351,19.65927,9.309358,20.54705,4.695912,3.868536
10837,318795732758849536,177.06097,0.83159,GALAXY,,37.44212,9.104337,1.698391,17.05587,4.787462,3.351121
10838,318796007636756480,177.03154,0.79561163,GALAXY,,-1.369087,-0.143206,-2.932922,7.215895,0.06466491,0.4550622
10839,318796282514663424,176.9959,1.0774371,GALAXY,,1.795061,-3.18849,0.7971616,-0.998872,3.943776,-2.602095
10840,318796832270477312,177.02241,0.99136246,GALAXY,STARBURST,134.676,53.39705,98.94479,11.14092,13.70535,0.1545207
10841,318797382026291200,177.18564,0.68866823,GALAXY,,39.29819,11.72476,3.94516,20.52169,2.603397,1.702207
10842,318797656904198144,176.97144,0.69794608,GALAXY,,13.36289,5.830107,0.9386175,4.541787,4.033977,1.933987
10843,318797931782105088,177.29133,0.69037061,GALAXY,,121.4274,27.24433,1.749721,41.17984,8.260513,2.746631
10844,318798206660012032,176.89797,1.064663,GALAXY,,30.52486,6.251795,9.449007,31.97393,3.841452,2.419216
10845,318798756415825920,177.06688,0.71194147,QSO,,0,0,0,0,0,0
10846,318799031293732864,176.97841,0.66781142,GALAXY,,8.356551,-0.1596429,3.04991,1.249928,-1.720323,1.461868
10847,318799581049546752,177.15197,0.78128564,GALAXY,,2.971257,-1.196299,5.123285,2.953786,-2.000288,-1.088472
10848,318799855927453696,177.1321,0.62295385,GALAXY,,-2.112997,-0.620361,-3.223741,-0.6359956,-24.48802,5.650476
10849,318800130805360640,177.06061,0.60553345,GALAXY,STARBURST,559.7821,185.1483,489.4796,44.64725,61.95787,13.68964
10850,318800405683267584,177.24336,0.45436515,GALAXY,,21.19184,5.809395,9.878966,29.34268,4.692009,4.651291
10851,318800680561174528,177.23814,0.49356492,GALAXY,,34.37365,7.618462,10.56704,28.46282,6.851744,2.995079
10852,318800955439081472,177.3293,0.3017676,GALAXY,STARBURST,377.6032,86.82267,40.80814,127.756,37.15249,13.51155
10853,318801505194895360,177.28394,0.35788887,GALAXY,,-3.163517,11.69916,0.457258,53.75872,-2.878,-2.267767
