fnu_12,fnu_60,rat_25_60,ra,dec
0.25,1.13,0.2212,234.0761,5.6652
0.25,2.31,0.1299,233.9755,38.6737
0.25,0.71,0.3521,233.9444,44.8332
0.57,8.60,0.0988,234.1308,16.6069
0.31,0.40,0.6250,233.6484,67.8082
0.25,0.52,0.4808,234.0152,49.5863
0.25,0.88,0.3864,234.4350,-29.8415
0.20,1.52,0.1382,234.1132,43.5180
0.74,0.68,0.4559,234.5552,-44.3946
0.25,0.74,0.3378,234.3960,5.9725
0.40,0.48,0.8750,234.4409,3.0360
0.27,2.18,0.1101,234.3023,43.2981
0.25,0.72,0.3472,278.7169,70.5222
0.25,0.49,0.5102,279.2055,49.0427
0.25,1.30,0.1923,279.4774,17.5323
0.25,1.67,0.1018,279.3595,40.0568
0.25,1.69,0.1361,279.8818,-46.2625
0.26,0.52,0.4808,279.7356,23.2931
0.25,0.43,0.5814,280.4657,-63.2211
0.42,0.51,0.4902,279.9174,22.3145
0.35,2.95,0.1322,280.2833,-41.7944
0.25,1.69,0.1479,280.6470,-64.9429
0.25,1.19,0.1092,279.8015,55.6402
0.26,0.64,0.3906,280.8107,-61.5664
0.25,0.92,0.3696,280.8803,-64.1045
1.37,2.07,1.0676,280.3950,8.1394
3.45,0.40,3.9250,280.6422,-35.5550
0.26,1.36,0.1912,280.9847,-57.1684
0.25,1.28,0.1406,281.4872,-72.6304
0.38,2.00,0.4300,281.1974,-62.3659
0.35,0.69,0.3623,280.5659,24.8979
0.25,0.90,1.1111,281.2573,-63.6921
0.48,0.96,0.2604,280.6061,32.3749
0.25,1.05,0.2381,280.6739,35.6263
0.26,0.86,0.2907,281.4226,-63.0877
0.25,0.82,0.3049,280.6804,40.3667
0.25,2.08,0.0962,280.8184,21.9718
0.25,0.71,0.3521,281.5793,-65.7540
0.25,0.75,0.4533,280.7663,37.3999
0.25,1.42,0.1761,280.7280,50.6619
0.25,1.37,0.1825,281.3705,-39.1819
0.26,0.48,0.5208,280.6954,62.4819
0.46,10.00,0.1220,280.8011,60.6529
0.33,4.59,0.1765,281.9296,-63.1569
0.25,0.97,0.2680,281.7063,-39.4761
0.25,2.08,0.0865,281.8052,-48.3578
0.29,0.48,0.5208,282.0377,-57.9356
0.25,0.34,1.2647,281.8648,-41.7204
0.25,0.83,0.3012,281.5710,22.6160
0.25,1.26,0.1984,282.2647,-51.2646
