fnu_12,fnu_60,rat_25_60,ra,dec
0.25,0.43,0.5814,43.0861,-57.9485
0.25,1.42,0.2324,43.5684,42.7258
0.25,0.59,0.4237,43.4212,6.2666
0.25,4.30,0.1000,43.4612,12.8510
0.25,0.57,0.4737,43.3627,-30.8619
0.25,1.52,0.1645,43.5106,2.9616
0.38,0.78,0.3462,43.7968,51.9082
0.25,0.63,0.3968,43.8201,47.2539
0.25,3.03,0.1419,43.6382,-10.0291
0.25,0.96,0.2604,43.6396,-18.6334
0.25,1.11,0.2252,43.7252,-6.3730
0.25,1.03,0.2427,43.6859,-25.1113
0.26,1.15,0.2261,43.8266,-4.5828
0.25,0.72,0.3472,43.8352,-25.5435
0.66,0.38,0.7105,43.8724,-23.1269
0.25,2.15,0.1349,44.1642,47.5247
0.25,0.40,0.7750,44.0870,31.9165
0.25,7.45,0.1060,43.9889,0.6925
0.25,0.49,0.5102,43.8107,-45.8158
0.25,0.40,0.6250,43.9213,-27.4227
0.29,0.45,0.5556,234.4376,22.4262
0.33,1.47,0.2041,234.7631,-25.9766
0.34,2.66,0.0865,234.6236,12.1868
0.33,4.30,0.1512,234.6867,-3.3803
0.68,0.55,0.4727,234.6884,-3.2783
0.28,0.94,0.3830,234.8728,-38.5371
0.29,1.31,0.4656,233.9464,73.4512
0.25,0.75,0.3333,234.7298,4.5813
0.34,0.40,0.6250,234.7059,29.4207
0.25,1.40,0.3071,234.9939,-30.5535
0.25,0.93,0.2688,234.7612,31.7598
0.25,0.64,0.3906,234.8197,24.4541
0.25,2.27,0.2687,234.8627,24.9465
0.26,0.66,0.3788,234.9978,-0.9124
0.25,1.56,0.1346,234.7805,43.8645
0.29,0.58,0.5690,235.0829,-18.4444
0.53,0.43,0.5814,234.9617,14.1879
0.31,0.47,0.5319,235.0083,45.9488
0.25,0.54,0.4630,235.2221,9.7472
0.44,0.50,0.5000,235.1787,21.2950
0.25,0.98,0.2551,234.9053,59.3275
0.40,0.40,0.6250,234.9710,58.0794
0.26,0.37,0.8919,235.2889,15.5748
0.25,0.53,0.4717,235.3114,22.0219
0.27,0.60,0.4833,235.5460,-31.5485
0.33,0.40,0.6250,235.4039,27.9954
0.25,0.39,0.6410,235.4849,16.8411
0.38,0.40,1.6250,235.7926,-32.1373
0.34,0.74,0.3378,235.5444,27.6093
0.25,0.56,0.7143,235.7916,-12.5757
0.25,0.39,0.6410,235.5653,39.9817
0.26,0.59,0.4237,235.7294,9.2284
0.45,0.46,0.5435,236.2918,-66.2947
0.78,0.55,0.5091,236.0242,-41.2468
0.25,1.44,0.1736,235.8157,9.7229
0.25,0.91,0.2747,235.8610,7.9117
0.25,1.28,0.1953,237.0232,-78.1740
0.25,0.60,0.6833,235.9819,6.4639
0.25,1.08,1.0648,236.0133,4.7695
0.56,0.38,0.6579,235.9409,28.4131
0.25,0.74,0.3378,235.8502,44.1215
0.33,0.52,0.4808,235.9419,43.7661
0.28,3.00,0.1300,237.0688,-75.6729
0.28,0.42,0.5952,235.9185,53.5717
0.25,1.50,0.2000,236.0868,41.0855
0.25,0.93,0.2903,236.1111,41.1167
0.25,0.80,0.3125,236.4399,2.4115
0.47,0.40,1.5500,235.9120,67.7666
0.25,0.40,0.6250,236.4207,20.5685
0.42,0.56,0.5536,236.6765,-28.7317
0.63,9.94,0.1700,236.5669,2.4151
0.25,1.07,0.2336,237.2167,-67.3229
0.25,0.78,0.4359,236.7511,-0.9867
0.25,1.07,0.2991,236.7261,5.8918
0.25,0.40,0.6250,236.0383,72.4297
0.25,4.10,0.1317,236.7443,17.8829
0.25,0.40,0.6250,236.6834,31.0100
0.32,4.30,0.1070,237.1458,-41.2245
0.28,1.83,0.1585,237.0574,-24.8871
0.25,1.06,0.2358,236.9016,26.0636
0.25,1.88,0.1755,237.1782,-32.1189
0.43,3.88,0.2294,237.1033,-13.7576
0.25,0.88,0.2841,236.9445,28.6405
10.94,0.66,4.5152,237.2215,-20.4475
0.35,0.96,0.3750,237.4080,-40.3273
0.28,1.17,0.2137,237.1701,21.8688
0.25,0.53,0.4717,237.2371,7.2206
0.25,0.61,0.4098,237.1066,41.9821
1.21,36.57,0.1332,237.4557,-29.3869
0.25,0.54,0.4630,237.0153,55.7190
0.28,0.79,0.4557,237.4758,-21.0495
0.25,0.65,0.4308,238.2827,-74.8240
0.25,1.58,0.2468,237.5253,-23.6416
0.39,0.47,0.5319,236.9562,69.4677
0.79,0.43,1.3023,238.0862,-62.8125
0.25,0.80,0.3250,237.0707,68.2197
0.26,1.08,0.2315,237.5958,18.9386
0.83,0.34,0.8529,238.5685,-74.7417
0.35,0.38,0.6579,237.5190,42.3083
0.25,0.40,0.6250,237.6524,20.3838
0.28,0.82,0.3049,237.1639,69.4424
199.31,16.70,5.8138,237.6915,48.4824
0.39,1.62,0.1543,238.3965,-61.6829
0.26,3.38,0.1213,238.1524,-38.8506
0.25,0.77,0.3247,237.6775,55.6114
0.38,3.65,0.1205,237.8041,47.2537
0.25,0.75,0.3333,237.3755,71.2467
0.25,1.42,0.2324,238.6916,-68.7159
0.27,1.08,0.3889,238.2709,-24.6210
0.25,0.78,0.5513,238.2030,-0.5236
0.25,0.50,0.5000,237.8492,61.0792
0.25,3.18,0.0629,237.8545,62.3090
0.25,0.60,0.4167,238.2335,21.0976
0.25,0.74,0.3378,238.3508,11.9585
0.61,0.70,0.3571,254.3170,46.8753
0.25,0.92,0.2717,254.5385,22.9840
0.37,0.76,0.3289,254.5347,29.9102
0.25,0.70,0.3571,254.6265,20.0413
0.25,1.70,0.0706,253.1794,81.0053
0.36,0.51,0.4902,254.7408,27.9253
0.25,0.41,0.6098,254.7248,36.5206
0.25,1.03,0.1942,254.7864,28.9916
0.39,0.47,0.5532,254.9351,2.5092
0.25,1.19,0.2437,254.8380,29.9455
0.26,0.71,0.3521,254.6150,57.5226
0.25,0.43,0.5814,254.6552,54.8674
0.41,0.37,0.6757,254.6763,57.1001
0.25,0.65,0.3846,254.6362,59.7534
0.25,0.48,0.7708,255.0483,23.1250
0.25,1.21,0.3058,254.8559,49.9202
0.26,0.77,0.6364,255.2037,-5.1743
0.28,0.72,0.6250,255.1873,10.2774
0.25,0.37,0.6757,254.8952,56.0680
0.83,0.83,0.3012,255.1639,27.8559
0.25,1.97,0.0812,255.3424,5.2831
0.25,0.75,0.3333,255.3853,27.9411
0.35,0.40,1.3000,255.4015,33.5682
0.90,0.40,1.3750,255.4279,41.2307
0.25,0.94,0.2979,255.3699,48.4236
0.25,0.42,0.5476,255.3543,51.8223
0.25,0.32,0.7812,255.2849,58.6850
0.26,0.91,0.2747,255.7668,16.2952
0.25,2.29,0.0961,253.4452,83.8662
0.44,0.34,0.7941,255.9414,4.2434
0.25,0.53,1.0189,255.8419,24.9329
0.25,2.20,0.1455,255.8168,31.4579
0.25,0.96,0.2604,256.7993,-70.7964
0.25,0.37,2.3514,255.8020,40.6375
0.27,0.63,0.3968,256.0390,31.4842
0.25,0.48,0.6250,256.2345,-1.5425
0.25,0.42,0.5952,255.8687,55.1459
0.25,0.50,0.5000,256.2446,9.9302
0.25,0.46,0.8261,255.8101,61.4489
0.25,0.84,0.2976,256.1340,37.9651
0.77,0.40,1.6500,257.3398,-73.3205
0.25,0.72,0.3472,256.2397,38.0206
0.40,0.52,0.4808,256.2007,44.8761
0.86,0.40,1.4000,256.4285,18.4153
0.25,0.48,0.5208,256.6897,35.6582
0.25,0.62,0.1774,257.9066,-74.1399
0.27,0.40,0.7250,256.7241,43.1199
0.43,1.09,0.3028,257.1106,-25.7134
0.37,1.08,0.2315,256.1340,72.4458
0.25,0.63,0.8571,257.3998,-52.2173
0.26,1.11,0.2252,257.5623,-61.9174
0.25,0.70,0.3571,256.8637,39.1519
0.59,1.88,0.1649,257.1805,3.8951
0.25,2.13,0.1174,258.4297,-77.5370
0.25,0.83,0.3012,258.0526,-71.6717
0.25,1.32,0.1894,257.1070,25.5178
0.71,0.81,0.6420,257.3674,-25.7099
0.47,0.40,0.6750,257.2710,11.4620
0.25,0.49,0.8776,257.1322,42.3390
0.25,3.17,0.1483,256.9033,60.7274
0.40,0.40,1.3250,256.9987,60.9932
0.40,0.62,0.4032,257.4038,34.1105
0.25,0.72,0.1806,257.0438,63.6299
0.40,0.79,0.3165,258.8730,-77.4896
0.25,2.99,0.1037,257.1884,62.0422
0.25,0.40,0.6250,256.5208,77.1137
0.29,1.65,0.2303,257.8610,-23.1567
0.25,0.43,0.5814,257.6599,20.2651
0.25,0.30,0.8333,257.7782,5.8538
0.49,1.81,0.2376,257.9442,-25.7478
0.25,2.05,0.1220,257.8127,5.4170
0.80,0.40,1.3750,257.5902,48.3288
0.37,3.05,0.1246,257.8783,7.9943
0.25,0.55,0.4545,258.4061,-59.1100
0.25,0.27,1.0370,257.4289,62.9736
0.25,0.59,0.4237,258.4554,-60.8112
0.25,0.88,0.2841,257.7522,56.9346
0.38,0.42,0.6667,258.0980,16.5613
0.25,0.51,0.4902,258.0553,30.1676
0.30,1.98,0.1717,259.1519,-73.1469
0.25,0.50,0.5000,258.1556,23.2702
0.35,0.40,0.6250,258.0569,47.7619
0.25,0.40,1.3000,257.9425,59.9870
0.25,0.61,0.4098,258.2921,26.4565
0.25,0.47,0.5319,258.3553,42.8993
0.25,0.63,0.3968,258.6005,20.3143
0.25,1.68,0.1488,258.5936,23.0701
0.74,14.05,0.1530,259.2480,-62.8206
0.25,0.75,0.2533,258.5375,39.4984
0.27,0.69,0.3623,258.7334,6.2119
1.38,0.47,0.5532,258.5879,39.0745
5.40,0.40,3.7750,258.5980,39.1159
0.65,0.40,0.7250,259.1562,0.8503
0.25,1.05,0.3429,259.1315,6.4319
0.25,0.40,0.6250,259.1688,7.3304
0.35,0.62,0.4032,259.0488,31.7916
0.68,0.44,1.2727,259.0614,37.1142
0.25,2.82,0.1348,259.2302,21.6184
0.25,0.72,0.3472,259.2826,40.8448
0.25,0.45,0.5556,259.3146,38.8949
0.25,0.60,0.4167,259.4444,39.4861
0.25,0.45,0.5556,259.5099,33.3332
0.25,0.64,0.3906,259.4078,48.6375
0.25,0.37,0.6757,259.6121,28.1564
0.25,0.97,0.2577,259.7296,8.4423
0.25,1.01,0.1782,259.0308,73.4388
0.66,0.48,0.5208,259.7122,49.8837
0.25,0.64,0.3906,259.9828,16.6591
0.33,4.45,0.1034,259.6705,60.6067
0.30,0.85,0.2941,260.6477,-59.5065
0.25,3.42,0.0994,261.1528,-73.9403
0.25,0.59,0.4237,259.8300,57.8984
1.35,0.26,0.9615,262.0410,-80.7692
0.26,0.77,0.3377,260.4361,-0.7956
0.25,1.53,0.2092,260.9755,-60.0008
0.25,0.81,0.3580,260.5902,2.0130
0.25,0.40,0.6250,260.5070,33.6636
0.51,0.29,2.1724,260.5331,30.6923
0.33,0.46,0.5435,260.6575,14.5898
0.25,2.72,0.1397,260.7734,12.6951
0.25,1.64,0.1524,260.7811,12.9065
0.38,0.70,0.3571,260.6810,48.1925
0.26,0.62,0.4032,260.8579,32.4080
0.25,0.66,0.3788,260.5858,59.0777
0.25,1.30,0.1923,261.6166,-59.7286
0.56,0.40,0.6250,260.7076,60.4486
0.25,0.59,0.4237,260.6801,62.1677
0.34,10.18,0.1257,261.6852,-59.9330
0.25,0.39,0.6410,261.0380,33.8442
0.25,0.43,0.5814,260.9303,52.0107
0.27,1.83,0.1311,261.7768,-60.8792
0.25,0.65,0.3846,260.9768,48.4775
0.25,0.70,0.3571,261.1025,44.9391
0.26,0.37,1.7568,261.3371,23.3163
0.61,0.43,0.5814,261.2104,45.9175
0.25,1.91,0.0942,264.8666,-85.3096
0.25,0.68,0.3676,260.4496,75.8502
0.25,1.29,0.1938,262.6827,-74.4591
0.26,0.65,0.3846,261.6654,13.9133
0.26,0.55,0.4545,261.3246,58.8148
0.25,1.87,0.1337,261.8044,11.5423
0.25,1.71,0.2105,244.3124,-11.7314
0.46,6.65,0.0977,245.1801,-70.1426
0.25,0.52,0.4808,244.9201,-59.2029
0.29,0.48,0.5208,244.6625,21.9747
0.25,1.22,0.2049,244.3414,59.3196
0.24,4.01,0.1297,244.9486,37.7742
0.25,0.98,0.2551,245.1795,0.5170
0.25,0.40,0.6250,245.4022,49.4498
0.25,0.63,0.3968,245.3601,56.0059
0.32,0.78,0.3205,245.7231,40.4960
0.25,0.46,0.5435,245.9138,11.7843
0.25,0.36,0.6944,245.9902,36.2296
0.25,0.45,0.5556,246.1201,19.4869
0.51,0.52,0.4808,246.9646,-58.8025
3.56,8.47,0.8182,246.7439,-24.7594
0.25,0.46,0.5435,246.8336,1.9210
0.25,0.98,0.2551,246.6540,39.1260
0.25,0.41,1.6341,247.0914,33.1698
0.25,2.02,0.1089,249.1961,-82.3344
0.25,0.45,0.5556,247.2557,41.2834
0.38,1.11,0.2793,247.4705,24.4438
0.39,0.92,0.2717,247.6997,20.3551
0.25,0.40,1.2000,247.1447,69.7143
0.25,0.45,0.6444,248.0128,32.0586
0.51,8.89,0.1170,248.0896,19.8252
0.25,0.44,0.5682,248.4468,28.9858
0.94,0.47,0.5319,248.2603,53.1985
0.25,1.47,0.1769,248.4693,47.9957
0.19,7.16,0.1034,249.5471,-68.4353
1.76,0.40,1.3000,248.9297,42.3963
0.25,0.53,0.4717,248.0865,76.7427
0.25,0.43,0.5814,249.4099,7.2588
0.40,1.05,0.1810,250.1327,-67.4511
0.26,1.20,0.1750,249.0635,66.2407
1.07,0.40,0.7500,249.4429,42.5266
0.25,0.40,0.6250,249.5723,60.7708
0.31,0.72,0.3472,250.0195,15.8839
0.25,0.86,0.2907,251.7116,-77.7864
0.25,0.49,0.5102,250.3515,33.3515
0.45,0.47,0.9574,250.8434,-24.8790
0.25,0.52,0.6154,0.7196,3.5042
1.06,0.80,0.3125,0.7281,-34.2385
0.25,0.88,0.6364,0.7727,-1.9155
0.25,4.25,0.2471,0.7878,21.9597
0.25,0.58,0.5000,0.8188,3.6212
0.69,0.54,1.1481,0.8386,8.6131
0.25,0.59,1.5424,0.8543,5.7137
0.25,1.44,0.2014,103.2379,27.6334
0.25,1.58,0.1582,103.8815,69.5625
0.25,0.78,0.4103,103.2996,22.3114
0.25,1.86,0.1882,103.6264,50.3548
0.25,0.44,0.6136,103.4707,19.3005
0.25,0.30,0.8333,103.2536,-39.2706
0.25,1.07,0.3458,103.8183,40.3378
1.40,0.42,0.9048,104.1341,60.6533
0.25,1.00,0.3200,103.7976,24.2296
0.58,0.67,0.5224,103.9032,39.7652
0.25,0.37,0.7027,103.3256,-59.1748
0.25,0.93,0.2688,103.2617,-64.9198
0.25,0.71,0.3521,105.5968,80.9509
0.29,0.43,0.5814,104.3088,50.6060
0.25,0.65,0.3846,104.0754,6.2686
0.42,8.29,0.1460,104.3942,46.4027
0.25,0.48,0.5208,103.8396,-47.1141
0.25,1.55,0.2323,104.4057,39.0869
0.25,0.81,0.3086,103.9888,-36.9368
0.25,2.66,0.2105,104.2985,20.4372
0.25,1.18,0.2627,104.5076,44.1535
0.25,0.60,0.4167,103.6687,-65.4898
0.25,1.23,0.1301,104.9922,68.6517
0.29,0.64,0.3906,104.1824,-28.3559
0.25,0.97,0.2474,104.1369,-45.1752
0.43,0.67,0.3731,104.8856,59.5191
0.30,3.41,0.1056,104.5064,12.6666
0.25,0.70,0.3571,104.3547,-24.7281
0.42,0.68,0.3676,104.7958,45.4183
0.25,2.03,0.1675,104.6564,12.6670
0.25,0.78,0.2436,104.1246,-65.5589
1.11,0.40,0.9750,105.1175,40.3489
0.42,0.57,0.7895,105.2628,51.2671
0.25,2.72,0.1250,104.7874,-39.6723
0.25,1.78,0.2247,105.4972,51.1101
0.53,0.40,0.8250,105.2845,19.6136
0.32,3.63,0.0882,104.7673,-59.1258
0.25,0.91,0.3187,105.4497,37.7248
0.25,0.43,0.5814,105.1732,-21.2477
0.25,1.30,0.1923,105.1749,-27.3678
0.33,0.71,0.5352,105.4406,24.2393
0.27,0.70,0.3857,105.9163,65.7163
0.25,0.66,0.5606,105.5068,27.8285
0.29,2.68,0.1045,105.1909,-37.7469
0.91,0.40,0.5000,105.7919,54.8986
0.25,0.71,0.3521,105.4601,4.9179
0.25,1.14,0.0965,104.3966,-75.9272
0.25,1.22,0.2377,105.7639,39.2403
0.25,0.67,0.3731,105.4724,-31.4431
0.25,1.13,0.2212,105.5298,-28.4584
0.26,0.78,0.3205,105.9501,34.1843
0.25,0.49,1.3878,105.8746,18.9567
0.50,4.75,0.1200,108.5213,84.3824
0.25,0.67,7.8806,106.0438,37.6884
0.25,2.45,0.1388,105.6503,-42.0678
0.25,1.08,0.2963,106.2384,46.1407
0.25,0.45,0.5556,106.4615,56.2072
0.25,3.93,0.1501,136.4470,25.4381
0.25,0.48,2.1250,136.4928,35.3828
1.41,0.42,0.5952,136.5658,46.2123
0.31,0.40,0.9500,136.4990,18.7682
0.25,0.77,0.3247,136.3789,-19.0417
0.96,0.40,0.6500,136.5107,7.1905
0.25,1.72,0.1744,136.6729,41.8136
0.25,0.48,0.5208,136.7387,49.7735
0.27,3.06,0.1111,136.8856,60.4793
0.25,0.46,1.0217,136.7983,50.7127
0.25,1.15,0.2174,136.0014,-72.0544
0.25,0.79,0.4177,136.7873,25.3411
0.25,0.56,0.4464,136.7362,-0.0328
0.29,2.06,0.1262,136.7052,-15.5014
0.25,3.97,0.1159,136.8802,18.4344
0.25,1.07,0.2336,136.9884,41.7095
0.25,0.74,0.9324,137.0494,21.9988
0.25,1.14,0.2193,137.1240,35.6179
0.25,0.47,1.0851,137.2199,49.7533
0.25,0.97,0.3299,137.1172,28.9114
0.25,0.74,0.7838,137.2760,53.8465
0.74,0.56,1.0536,137.4508,64.4239
0.25,1.71,0.1462,137.4901,62.2476
0.41,0.68,0.3676,137.0124,-37.5601
0.25,1.06,0.2358,137.0336,-34.0182
0.25,0.59,0.6949,137.3486,24.2423
0.25,1.67,0.1557,137.3912,33.1228
0.25,0.52,0.5000,137.3208,-1.1667
0.25,2.00,0.1000,137.1890,-38.6073
0.27,0.39,0.6410,138.0403,73.5976
0.28,3.74,0.1016,136.6468,-75.8280
0.27,2.84,0.1373,137.4352,7.1733
1.31,0.52,0.6538,137.2763,-35.8898
0.25,1.74,0.1609,137.5876,7.0367
0.25,0.75,0.3333,137.5114,-33.1495
0.34,0.69,0.3623,137.9113,46.6418
0.25,0.57,0.7719,137.7609,13.4131
0.25,2.82,0.1099,137.2629,-67.9339
0.25,4.12,0.0607,137.7048,-8.8933
0.37,0.46,0.5435,138.3140,67.2700
0.26,3.07,0.0977,138.0622,44.9546
0.39,0.39,0.6410,137.8947,-3.5366
0.25,0.53,0.4717,137.8700,-14.8172
0.26,0.57,0.4386,138.2666,49.6381
0.25,0.71,0.3521,137.9794,-20.1159
0.25,0.63,0.3968,138.8679,76.9988
0.25,1.91,0.1309,137.9925,-26.8243
0.40,0.52,0.5192,183.4067,16.1234
0.30,5.01,0.1397,183.4625,-47.2714
0.25,3.29,0.1094,183.4482,13.4248
0.33,5.11,0.0881,183.4536,14.8984
0.25,1.32,0.2045,183.4841,13.1682
0.25,0.91,0.3407,183.5066,-9.5699
0.25,1.77,0.1412,183.5262,-12.5844
0.86,22.79,0.1913,183.5406,54.5249
0.25,0.67,1.7313,183.6345,18.2527
0.37,4.28,0.0888,183.6673,-11.5804
0.32,0.56,0.8214,183.6655,-2.4477
0.25,1.81,0.1823,183.6644,5.8071
0.33,11.71,0.1546,183.6864,-35.5099
0.25,3.70,0.1568,183.7137,-3.4907
0.25,0.70,0.3571,183.6716,72.3349
0.25,0.72,0.3611,183.8092,20.6569
0.25,0.53,0.7547,183.8204,13.0224
0.38,0.67,0.3731,183.8520,-38.1418
0.48,0.51,0.4902,183.8233,57.8575
0.25,0.64,0.3906,183.8154,65.9833
0.48,0.51,0.5686,183.8546,19.2941
0.54,3.03,0.1155,183.8764,9.5846
0.25,0.41,1.5122,183.8963,-35.6326
0.40,6.70,0.0970,183.8976,13.9086
0.38,0.87,0.2874,183.9054,28.1702
0.39,0.55,0.4545,183.9353,-34.9009
0.39,14.47,0.1209,183.9165,36.3228
0.28,0.67,0.3731,183.9164,61.8917
0.25,1.08,0.2315,183.9363,48.1339
0.34,0.94,0.3191,183.9781,13.1511
0.26,1.36,0.1838,183.9800,26.6628
0.25,1.57,0.1847,184.0475,47.8845
0.30,0.41,0.6098,184.0606,28.7611
3.90,0.40,2.0750,184.0858,23.9458
0.49,12.05,0.0896,184.1146,-43.3256
0.25,0.94,0.2660,184.0975,13.3053
0.25,1.60,0.1000,184.1016,69.5095
0.42,0.40,0.7750,184.1490,7.4633
0.25,3.25,0.1138,184.1647,-12.3295
0.35,0.40,0.7000,184.2751,-51.1842
0.70,0.50,0.8000,184.2506,9.9245
0.25,0.48,0.5208,184.2385,63.4073
0.25,1.66,0.1867,184.2906,3.6798
0.25,0.94,0.2660,184.2430,69.4093
0.28,2.81,0.2527,184.2966,15.3231
0.37,0.36,0.8333,184.3241,16.3704
0.38,0.54,0.5741,35.1753,-27.4877
0.25,0.53,0.4717,35.3926,32.5471
0.25,0.90,0.3556,35.3511,16.5677
0.25,0.51,0.4902,35.0559,-58.7076
0.36,5.65,0.0442,35.5170,50.6358
0.27,0.88,0.3295,35.3775,15.7624
0.27,0.61,0.4098,35.2515,-31.9429
0.41,1.18,0.2119,35.6289,47.8510
0.77,0.37,0.7027,35.5482,28.7322
0.25,1.24,0.2742,35.3719,-35.6569
0.92,34.39,0.0212,35.6356,42.3468
0.52,12.23,0.0687,35.6621,42.3795
0.25,1.96,0.1735,35.4718,-20.8241
0.38,0.46,0.6087,35.7182,46.5632
0.37,0.81,1.0741,35.5065,-20.7464
0.32,0.99,0.4747,35.5439,-20.3873
0.40,0.84,0.2976,35.8289,53.3930
0.25,0.83,0.3012,35.7833,41.3705
0.26,0.57,0.4737,35.7014,11.6390
0.25,0.50,0.5000,35.8305,41.9482
0.28,6.64,0.1054,35.8402,32.1959
0.25,2.45,0.1102,35.4039,-64.6090
0.25,0.98,0.2551,37.3204,84.0190
0.91,13.86,0.0902,35.7721,-21.2330
0.34,9.99,0.1231,36.0340,47.9696
0.36,0.43,0.5814,35.7493,-36.8810
0.25,0.56,2.1250,35.7749,-32.8616
0.26,0.63,0.3968,36.0144,33.5579
0.25,1.25,0.2000,35.9080,-7.2583
0.25,0.71,0.3521,36.1161,40.8643
0.67,0.53,1.3962,36.0116,-4.6939
0.25,0.78,0.3205,36.1751,25.5310
0.25,0.40,1.1000,36.1096,-2.1603
0.25,1.98,0.1869,36.2500,26.0488
0.25,0.51,0.4902,36.3239,42.0934
0.25,0.47,0.8511,36.2285,16.1842
0.25,0.90,0.2778,36.3900,50.8178
0.25,4.05,0.0938,36.2649,22.2166
0.25,1.47,0.2517,36.1661,-19.1435
0.41,1.15,0.2696,36.3051,15.0595
0.25,1.09,0.2661,36.3686,20.3957
0.40,0.62,0.4032,36.3965,26.7370
0.25,0.91,0.2747,36.2680,-19.8072
0.25,5.20,0.0827,36.2709,-24.7894
0.25,1.12,0.2232,36.5190,42.1429
0.25,0.45,0.5556,36.5069,39.4710
0.31,1.26,0.3095,36.4635,18.4985
0.25,0.48,0.5208,36.5869,30.4432
0.25,2.21,0.1629,36.4624,-11.1902
0.38,0.40,0.6250,36.5917,28.5079
0.25,0.33,0.7576,36.2728,-54.7779
0.25,0.69,0.3623,36.3747,-42.0884
0.28,0.53,0.5283,36.6009,22.9942
0.25,0.59,0.5424,36.5327,-0.3284
0.25,3.32,0.1536,36.6938,41.8349
0.25,0.40,1.1000,36.3179,-57.7256
0.25,0.72,0.3472,36.2763,-61.5525
0.25,0.33,0.7576,36.7332,35.1833
0.25,0.89,0.5843,36.6541,12.1563
0.31,0.53,0.4717,36.6025,-15.2253
0.37,1.89,0.1534,36.7282,25.0336
0.25,1.44,0.1736,36.7665,33.5793
1.32,1.49,0.1678,36.5879,-24.2909
0.37,1.26,0.1984,36.8979,42.0001
0.25,2.13,0.1127,36.9083,41.9873
0.40,0.60,0.4167,36.9033,36.1481
0.44,0.41,0.6098,36.8643,25.6501
0.25,1.67,0.1796,36.8571,23.0929
0.40,0.80,0.3125,36.7580,-13.1310
0.34,1.37,0.1825,36.8869,25.6692
0.27,3.96,0.2374,36.9412,26.5894
0.66,2.76,0.4746,37.0605,31.3115
0.25,0.73,0.3425,37.0615,23.9193
0.32,3.02,0.0828,37.0491,19.5960
0.25,0.31,0.8065,37.0867,29.4598
0.25,0.40,0.6250,36.5530,-69.7474
0.25,0.88,0.2841,36.0690,-79.9228
0.25,0.55,0.6909,37.0921,10.3822
0.26,0.68,0.3676,37.0474,-5.8394
0.25,0.83,0.3012,37.1228,-1.1468
0.25,0.65,0.3846,36.9728,-50.7144
0.25,0.95,0.2632,37.1559,-10.5358
0.25,1.19,0.2101,37.1418,-19.0414
0.25,1.12,0.2232,37.1353,-21.2608
0.25,0.40,0.6250,37.3498,31.4676
0.25,0.67,0.3731,37.3617,31.6407
0.25,0.57,0.4561,37.4591,31.4562
4.40,0.40,3.3750,37.4511,16.0473
0.25,0.64,0.3906,39.2976,84.8661
0.39,0.64,0.3906,37.3643,-26.5348
0.25,0.94,0.2660,37.3447,-42.9851
0.28,2.48,0.1411,37.6379,32.1768
1.12,0.62,0.4032,37.3234,-54.8093
0.25,3.97,0.0781,37.7012,37.1353
0.25,1.25,0.1040,239.8848,70.3332
0.25,0.92,0.2717,240.5471,7.0849
0.25,0.63,0.3968,240.5079,16.4354
0.35,0.39,1.4359,240.5122,18.8143
0.25,0.55,0.3273,240.5345,26.3303
0.25,1.10,0.1818,240.4926,36.7011
0.25,2.03,0.1773,240.8069,-22.3224
0.25,0.62,7.0323,240.5528,42.9179
0.25,0.42,0.5952,240.6849,25.2523
0.25,0.53,0.5849,240.8153,5.6424
0.33,0.70,0.5000,240.9441,-22.7374
0.26,0.43,0.5814,240.7505,20.9581
0.30,0.52,0.4808,240.7502,27.0101
0.25,1.46,0.2123,240.6795,41.1959
1.38,0.40,1.7000,240.8482,16.3201
0.25,0.45,1.0000,240.8195,23.0070
0.44,0.86,0.2907,240.2427,70.5992
0.25,0.61,0.4098,240.8624,19.1680
0.25,0.82,0.3049,240.7611,39.6429
0.25,0.31,0.8065,241.5967,-67.7226
0.25,0.42,0.5952,240.9988,25.9553
0.26,0.40,0.6250,241.1245,3.8659
0.25,0.77,0.3247,241.1097,17.7496
0.25,0.73,0.3425,241.1319,14.8194
0.25,0.34,0.7353,240.6766,66.4960
0.66,0.49,0.5102,241.2124,16.8789
0.36,0.60,0.4167,241.2354,14.1387
0.25,1.55,0.1613,241.2829,17.7570
0.25,0.42,0.5952,241.2949,24.9619
0.25,0.54,0.4630,241.3786,17.7680
0.28,0.56,0.4464,241.4186,10.0328
0.25,0.40,1.1500,241.1838,49.4551
0.25,0.40,0.6250,241.4430,17.3435
0.68,0.34,0.7353,241.2893,45.4507
0.25,1.70,0.1412,241.4665,21.4837
0.25,0.47,0.5319,241.5261,20.7881
0.27,1.46,0.1849,241.4397,41.3435
0.25,0.91,0.2747,241.5955,19.7753
0.25,0.60,0.4167,241.5289,35.9813
0.39,0.52,0.4808,241.7092,14.7985
0.44,0.47,0.5319,241.6616,30.0996
0.25,1.56,0.1603,241.6778,31.8930
0.25,0.39,0.6410,240.7373,77.6036
0.25,1.80,0.1667,241.7783,22.0603
0.25,0.98,0.2551,242.0980,23.4730
0.25,0.82,0.4390,242.1514,12.3312
0.25,1.36,0.8162,242.4054,-29.0045
0.25,0.82,0.3049,242.2410,19.8225
0.62,0.35,0.7143,242.2802,24.8713
0.25,0.91,0.2747,241.8122,69.9311
0.32,0.61,0.5246,242.5090,-2.6566
0.31,4.38,0.0731,242.4958,0.7087
0.25,1.28,0.1953,242.4051,28.0514
