galname;fnu_12;fnu_25;fnu_60;fnu_100;rat_12_25;rat_25_60;rat_60_100;ra;dec
01286-4243;25;25;78;215;10000;3205;3628;226976;-424642
01286+3430;41;25;40;100;16400;6250;4000;228852;347660
01289+3321;25;35;116;356;7143;3017;3258;229447;336170
01291+3313;25;25;114;321;10000;2193;3551;229874;334750
01291-0111;26;30;58;214;8667;5172;2710;229266;-9341
01295+4908;25;25;39;201;10000;6410;1940;231432;493997
01295+2109;25;25;133;245;10000;1880;5429;230696;214112
01295-3322;28;33;242;598;8485;1364;4047;229586;-331192
01296+3506;25;25;42;122;10000;5952;3443;231343;353616
01299-3345;34;25;61;181;13600;4098;3370;230594;-334963
01304-1504;73;28;60;214;26071;4667;2804;232134;-148146
01305-1647;25;39;193;489;6410;2021;3947;232390;-165344
01305-0733;25;49;61;266;5102;8033;2293;232740;-73100
01307+3016;40;65;757;3159;6154;859;2396;233825;305353
01307+8413;102;26;40;502;39231;6500;797;244497;844815
01309+1219;25;35;58;168;7143;6034;3452;233993;125892
01309+4230;25;40;301;301;6250;1329;10000;234842;427571
01310+3030;25;44;439;2361;5682;1002;1859;234708;307579
01310+3024;49;37;1011;2448;13243;366;4130;234751;306685
01312+3023;29;50;1332;311;5800;375;42830;235102;306429
01312+3025;36;129;1011;2961;2791;1276;3414;235132;306854
01314-0119;25;32;63;187;7812;5079;3369;235058;-10774
01315+5510;25;25;82;241;10000;3049;3402;236816;554234
01317-3644;157;28;161;524;56071;1739;3073;234912;-364924
01317-3438;32;25;85;261;12800;2941;3257;234997;-343899
01317+3025;25;25;175;5145;10000;1429;340;236511;306843
01318-2549;25;25;142;368;10000;1761;3859;235548;-255650
01319+3346;25;25;49;120;10000;5102;4083;237061;340356
01319-2940;74;208;1957;4914;3558;1063;3982;235745;-294198
01321+2109;25;25;54;188;10000;4630;2872;237141;214183
01322-1545;25;62;40;95;4032;15500;4211;236706;-155036
01325-0735;25;51;108;407;4902;4722;2654;237686;-73410
01326-7943;25;25;68;184;10000;3676;3696;231967;-794740
01326-3623;33;70;731;1483;4714;958;4929;237148;-361362
01327+3512;25;25;52;116;10000;4808;4483;239045;354655
01329-4141;26;90;566;870;2889;1590;6506;237801;-414357
01333-3452;42;35;157;167;12000;2229;9401;238937;-346257
01334+0024;25;33;151;287;7576;2185;5261;239988;6636
01336+3940;25;28;89;161;8929;3146;5528;241349;399220
01340+4204;25;25;87;207;10000;2874;4203;242503;423220
01340+1532;25;40;301;1197;6250;1329;2515;241952;157985
01341-3734;59;29;542;1264;20345;535;4288;241008;-373272
01342-3638;25;25;63;177;10000;3968;3559;241116;-363789
01343-0516;25;25;56;179;10000;4464;3128;242197;-50135
01344+2258;31;27;47;123;11481;5745;3821;242968;232213
01346+5324;65;25;39;1178;26000;6410;331;244584;536616
01346+0537;32;85;494;657;3765;1721;7519;243237;58782
01348-8526;26;50;324;556;5200;1543;5827;229973;-851787
01348+3254;25;25;79;107;10000;3165;7383;244178;331561
01354+3507;25;25;53;189;10000;4717;2804;245889;353744
01354+2009;43;28;61;100;15357;4590;6100;245512;204142
01355-1814;25;25;133;157;10000;1880;8471;244858;-179902
01356-4047;47;35;47;192;13429;7447;2448;244635;-405413
01358-1006;25;44;40;125;5682;11000;3200;245843;-98517
01359-2310;25;44;46;105;5682;9565;4381;245823;-229245
01360-6106;25;25;40;105;10000;6250;3810;244417;-608569
01361-3351;25;54;46;117;4630;11739;3932;246032;-336107
01362+4830;25;27;201;420;9259;1343;4786;248265;487645
01363-4016;39;25;60;224;15600;4167;2679;246384;-400185
01367-3010;31;24;249;603;12917;964;4129;247564;-299213
01367-4250;50;34;44;134;14706;7727;3284;247226;-425832
01370+0659;27;32;60;131;8438;5333;4580;249101;72393
01370-1753;25;27;55;130;9259;4909;4231;248715;-176301
01370-4722;40;35;115;376;11429;3043;3059;247852;-471280
01371+4618;66;50;40;136;13200;12500;2941;250386;465677
01375+0528;25;89;119;259;2809;7479;4595;250417;57323
01375-1506;25;27;70;176;9259;3857;3977;249991;-148617
01375+3422;25;28;126;370;8929;2222;3405;251179;346267
01375+3159;27;30;75;122;9000;4000;6148;251126;322458
01378-2230;25;29;53;100;8621;5472;5300;250564;-222516
01379+2035;39;49;59;138;7959;8305;4275;251686;208374
01379-4340;166;25;61;110;66400;4098;5545;250157;-434251
01380-2909;25;25;106;377;10000;2358;2812;250887;-289125
01380+0743;44;31;116;262;14194;2672;4427;251814;79823
01383+3433;25;30;83;168;8333;3614;4940;253119;348104
01384-7515;36;90;764;1397;4000;1178;5469;248074;-750095
01394+1220;25;36;166;506;6944;2169;3281;255394;126008
01400-1633;25;25;182;440;10000;1374;4136;256068;-162994
01401+0749;29;31;66;122;9355;4697;5410;256902;80743
01402-4746;42;25;60;131;16800;4167;4580;255737;-475274
01403+1323;201;709;6539;10374;2835;1084;6303;257594;136461
01406+0838;27;36;74;165;7500;4865;4485;258099;88896
01409+8500;25;44;258;322;5682;1705;8012;273141;852593
01410-4427;25;28;246;682;8929;1138;3607;257768;-442148
01410-3427;26;37;291;596;7027;1271;4883;258228;-342065
01412+1648;44;27;67;125;16296;4030;5360;259819;170621
01412-3343;28;57;40;87;4912;14250;4598;258682;-334738
01413-7923;104;21;40;163;49524;5250;2454;253382;-791478
01413-3357;45;61;90;195;7377;6778;4615;259012;-337056
01413+0205;29;80;127;126;3625;6299;10079;259937;23506
01415-6243;83;32;60;156;25938;5333;3846;257845;-624680
01416+1713;25;26;84;202;9615;3095;4158;260863;174777
01416+3726;25;39;213;459;6410;1831;4641;261467;376962
23531+2955;45;39;70;100;11538;5571;7000;3589326;302099
23532+2513;25;25;136;409;10000;1838;3325;3589571;255013
23534-6057;25;25;88;242;10000;2841;3636;3590187;-606727
23535+0016;25;28;65;194;8929;4308;3351;3590298;5467
23535-0111;25;48;105;283;5208;4571;3710;3590329;-9144
23536+2906;27;65;44;165;4154;14773;2667;3590385;293908
23541+1329;26;25;71;178;10400;3521;3989;3591714;137747
23542+0104;25;32;53;177;7812;6038;2994;3591981;13564
23544-3457;42;25;53;157;16800;4717;3376;3592493;-346844
23548+3043;89;30;45;146;29667;6667;3082;3593541;310017
23548+1801;44;39;123;202;11282;3171;6089;3593633;183106
23550-2216;25;30;40;169;8333;7500;2367;3593975;-219949
23552-3252;30;39;567;3339;7692;688;1698;3594526;-325905
23553-1418;25;94;65;156;2660;14462;4167;3594830;-140380
23555+4734;66;25;50;85;26400;5000;5882;3595361;478511
23560+1026;32;58;313;711;5517;1853;4402;3596409;107278
23566-0424;25;34;98;183;7353;3469;5355;3597950;-41272
23567+4636;25;25;123;416;10000;2033;2957;3598139;468894
23567+0428;25;30;87;177;8333;3448;4915;3598301;47606
23568+2028;32;64;506;1003;5000;1265;5045;3598557;207498
23570-0246;27;36;86;200;7500;4186;4300;3598979;-24980
23570+1431;104;32;136;264;32500;2353;5152;3599089;148103
23571-3444;28;52;48;165;5385;10833;2909;3599254;-344624
23574+4659;25;25;48;205;10000;5208;2341;78;472775
23576+0050;43;82;40;112;5244;20500;3571;607;11228
23577-8104;25;25;64;234;10000;3906;2735;894;-807938
23579+3230;25;25;67;91;10000;3731;7363;1238;327850
23579+2602;42;25;107;214;16800;2336;5000;1311;263236
23587+1249;25;36;210;433;6944;1714;4850;3349;131109
23589+1104;25;40;87;186;6250;4598;4677;3757;113453
23590+3316;41;45;47;116;9111;9574;4052;4001;335611
23591+2312;38;67;547;1429;5672;1225;3828;4234;234945
23594+3622;25;37;500;572;6757;740;8741;4926;366495
23594-3344;25;34;92;199;7353;3696;4623;5101;-334696
23596+0239;25;31;173;318;8065;1792;5440;5424;29428
23597+1241;25;44;329;712;5682;1337;4621;5789;129712
00000-0359;25;33;121;249;7576;2727;4859;6448;-37105
00001+0827;25;28;70;119;8929;4000;5882;6663;87373
00010+2255;25;25;74;364;10000;3378;2033;8969;232003
00012+0712;25;26;65;243;9615;4000;2675;9532;74792
00025-0405;25;105;187;334;2381;5615;5599;12787;-38072
00027-1645;33;40;258;659;8250;1550;3915;13168;-164794
00042+0821;134;49;71;256;27347;6901;2773;17075;86294
00042+0804;44;58;60;224;7586;9667;2679;17096;83450
00055+2643;38;25;143;311;15200;1748;4598;20445;270041
00059-0529;31;35;80;143;8857;4375;5594;21399;-52209
00073+2630;25;25;42;141;10000;5952;2979;24713;267918
03196+3651;25;25;45;187;10000;5556;2406;507251;370344
03197-4345;39;25;42;124;15600;5952;3387;503724;-435821
03201-1721;25;59;40;66;4237;14750;6061;506207;-171795
03202-0001;25;28;43;134;8929;6512;3209;506925;1476
03202-5150;25;51;59;100;4902;8644;5900;504216;-516571
03203-0214;70;29;40;103;24138;7250;3883;507134;-20589
03206+3830;25;25;64;181;10000;3906;3536;509738;386768
03207+3734;25;33;333;714;7576;991;4664;509933;377556
03208-3723;29;29;308;769;10000;942;4005;506775;-372071
03208-3716;35;27;358;970;12963;754;3691;506861;-371024
03211+3951;113;44;40;133;25682;11000;3008;511086;400430
03211-4221;25;17;102;181;14706;1667;5635;507348;-421862
03211+1600;25;30;172;411;8333;1744;4185;509986;161824
03213+4147;26;25;148;366;10400;1689;4044;511827;419702
03216+7240;28;25;45;132;11200;5556;3409;517484;728462
03220-3741;25;25;52;157;10000;4808;3312;509754;-375096
03220-3638;27;79;831;1430;3418;951;5811;509879;-364635
03220-1150;25;25;87;164;10000;2874;5305;511124;-116682
03225-0555;25;25;94;366;10000;2660;2568;512598;-57454
03225+4034;25;25;144;382;10000;1736;3770;514733;407522
03226-1229;25;32;149;339;7812;2148;4395;512677;-123080
03227-0621;27;26;208;525;10385;1250;3962;512935;-61808
03227-1231;1593;844;62;100;18874;136129;6200;512883;-123550
03227-5805;25;25;139;283;10000;1799;4912;509950;-579133
03229-0618;29;43;258;495;6744;1667;5212;513595;-61414
03232-2551;25;25;65;140;10000;3846;4643;513465;-256787
03236-0022;49;25;44;101;19600;5682;4356;515578;-2032
03237-1749;27;25;63;118;10800;3968;5339;515033;-176567
03237+4948;25;19;137;260;13158;1387;5269;518364;499823
03238-2554;25;25;36;118;10000;6944;3051;515009;-257420
03238-6054;18;63;151;207;2857;4172;7295;512208;-607381
03240-2130;25;25;52;180;10000;4808;2889;515658;-213356
03242-5257;25;25;130;336;10000;1923;3869;514146;-527828
03243+4645;36;29;56;244;12414;5179;2295;519501;469382
03252+3959;63;25;40;168;25200;6250;2381;521283;401705
03254-1710;25;25;59;173;10000;4237;3410;519256;-170064
03255-0459;34;25;44;100;13600;5682;4400;520165;-48188
03255-3655;32;25;100;195;12800;2500;5128;518717;-367521
03257-3737;38;25;38;100;15200;6579;3800;518986;-374592
03259-1735;123;25;36;100;49200;6944;3600;520600;-174191
03260-3719;25;31;313;721;8065;990;4341;519928;-371482
03265-1219;37;34;151;462;10882;2252;3268;522202;-121558
03269-2637;38;25;51;105;15200;4902;4857;522590;-264474
03272-2818;25;25;61;152;10000;4098;4013;523332;-281333
03272-1756;35;25;76;161;14000;3289;4720;523865;-177762
03273+6811;35;35;311;1205;10000;1125;2581;530236;683672
03275-2226;25;25;40;100;10000;6250;4000;524268;-222741
02184-2742;38;31;54;143;12258;5741;3776;351753;-274877
02186+3219;25;25;53;206;10000;4717;2573;353926;325471
02186+1620;25;32;90;323;7812;3556;2786;353511;165677
02187-5856;25;25;51;105;10000;4902;4857;350559;-587076
02187+5024;36;25;565;3331;14400;442;1696;355170;506358
02187+1532;27;29;88;167;9310;3295;5269;353775;157624
02188-3210;27;25;61;140;10800;4098;4357;352515;-319429
02192+4737;41;25;118;308;16400;2119;3831;356289;478510
02192+2830;77;26;37;100;29615;7027;3700;355482;287322
02193-3553;25;34;124;257;7353;2742;4825;353719;-356569
02193+4207;92;73;3439;14793;12603;212;2325;356356;423468
02195+4209;52;84;1223;7480;6190;687;1635;356621;423795
02195-2103;25;34;196;371;7353;1735;5283;354718;-208241
02196+4620;38;28;46;116;13571;6087;3966;357182;465632
02197-2058;37;87;81;109;4253;10741;7431;355065;-207464
02198-2036;32;47;99;271;6809;4747;3653;355439;-203873
02198+5309;40;25;84;201;16000;2976;4179;358289;533930
07216-2957;35;50;570;1482;7000;877;3846;1109097;-300521
07217-2933;23;27;285;941;8519;947;3029;1109246;-296525
07219+2725;25;44;135;306;5682;3259;4412;1112565;273244
07220+2352;25;29;145;464;8621;2000;3125;1112559;237830
07220+4455;135;56;48;91;24107;11667;5275;1114197;448184
07222-6155;25;25;56;182;10000;4464;3077;1107121;-620281
07224+7240;42;25;59;106;16800;4237;5566;1120704;725743
07224-6024;25;25;40;140;10000;6250;2857;1107902;-604990
07224+3003;25;62;299;417;4032;2074;7170;1114081;299544
07224-7517;25;25;64;249;10000;3906;2570;1102640;-753845
07230+4711;25;25;63;170;10000;3968;3706;1116794;470940
07230+4848;25;48;293;312;5208;1638;9391;1117110;487014
07231-3223;25;25;164;485;10000;1524;3381;1112595;-324996
07233+3355;25;28;92;216;8929;3043;4259;1116531;338233
07233+6917;25;72;330;458;3472;2182;7205;1121733;691896
07235+2310;25;32;93;200;7812;3441;4650;1116509;230729
07236+7213;25;40;238;399;6250;1681;5965;1123572;721290
07237-3018;25;18;273;680;13889;659;4015;1114214;-304070
07241+6329;26;33;71;128;7879;4648;5547;1122082;633896
07242+5234;25;25;150;402;10000;1667;3731;1120337;524714
07242-4710;25;25;182;239;10000;1374;7615;1114292;-472765
07244+1944;25;32;127;343;7812;2520;3703;1118424;196370
07244-0726;25;25;58;234;10000;4310;2479;1117223;-75461
07245-3513;25;25;113;167;10000;2212;6766;1115854;-353303
07249-5220;25;25;47;210;10000;5319;2238;1115368;-524501
07249+2902;33;32;56;160;10312;5714;3500;1120281;289313
07254+3539;25;30;75;111;8333;4000;6757;1121957;355512
07254+5508;25;25;54;133;10000;4630;4060;1123815;550324
07256+3355;49;199;1621;2309;2462;1228;7020;1122232;338188
07267+3407;25;45;61;151;5556;7377;4040;1125151;340275
07268+5935;25;25;95;258;10000;2632;3682;1127823;594807
07268+5802;45;28;96;269;16071;2917;3569;1127682;579402
07269-7504;25;25;118;326;10000;2119;3620;1113983;-751812
07271+6320;25;72;325;370;3472;2215;8784;1129327;632430
07281+6500;25;136;52;222;1838;26154;2342;1132351;649065
07283-3129;31;21;149;509;14762;1409;2927;1125779;-315989
07284+8354;25;25;93;222;10000;2688;4189;1151075;837896
07285+5518;25;42;60;142;5952;7000;4225;1131363;551962
07285-5838;25;25;41;185;10000;6098;2216;1123610;-587432
07285+6059;25;25;91;191;10000;2747;4764;1132522;608823
07286+5014;25;25;73;163;10000;3425;4479;1131226;501375
07287+5823;27;36;46;116;7500;7826;3966;1132369;582817
07296-6606;75;59;40;110;12712;14750;3636;1124688;-662143
07296-5144;25;25;41;205;10000;6098;2000;1127372;-518480
07297-6141;26;25;82;223;10400;3049;3677;1126020;-617908
07300-3141;28;25;38;302;11200;6579;1258;1129867;-317957
07301+3135;25;28;52;221;8929;5385;2353;1133466;314820
22064-2758;25;29;203;338;8621;1429;6006;3323203;-277295
22064+4811;34;25;72;258;13600;3472;2791;3321104;484438
22064-5003;25;26;57;119;9615;4561;4790;3324185;-498071
22065+2427;39;25;55;124;15600;4545;4435;3322062;246981
22067+4417;36;25;74;313;14400;3378;2364;3321916;445326
22069-3809;25;30;192;337;8333;1562;5697;3324719;-379192
22070-6706;25;26;134;219;9615;1940;6119;3326975;-668697
22072-3620;27;45;344;679;6000;1308;5066;3325372;-360899
22072+3858;25;25;71;154;10000;3521;4610;3323590;392163
22072+0917;83;41;40;111;20244;10250;3604;3324442;95356
22074-1654;29;88;463;1047;3295;1901;4422;3325495;-166598
22074+3902;25;33;127;273;7576;2598;4652;3324056;392822
22075+3756;40;25;55;168;16000;4545;3274;3324285;381950
22081+4046;26;32;338;811;8125;947;4168;3325607;410292
22082-7248;25;25;72;192;10000;3472;3750;3331071;-725694
22083-3048;25;25;62;267;10000;4032;2322;3328088;-305634
22083+4038;50;25;72;609;20000;3472;1182;3326240;408908
22086-7121;25;25;50;76;10000;5000;6579;3331690;-711068
22087-6258;25;29;239;439;8621;1213;5444;3330687;-627266
22092-4202;25;25;54;128;10000;4630;4219;3330555;-417904
22093-4728;25;27;233;504;9259;1159;4623;3331229;-472219
22100-4905;25;25;158;325;10000;1582;4862;3332998;-488429
22101-5314;60;36;141;168;16667;2553;8393;3333433;-529876
22101-2846;25;34;144;311;7353;2361;4630;3332546;-285252
22103-2623;29;25;295;725;11600;847;4069;3332816;-261490
22103-3715;43;25;76;89;17200;3289;8539;3333283;-370139
22104-2241;26;32;182;355;8125;1758;5127;3332946;-224429
22104+4504;25;20;310;628;12500;645;4936;3331216;453258
22105-4608;25;25;64;199;10000;3906;3216;3334195;-458951
22110-5422;25;25;58;206;10000;4310;2816;3335674;-541207
22111-3655;25;25;54;258;10000;4630;2093;3335286;-366840
22112-2937;25;25;128;394;10000;1953;3249;3335135;-293827
22112-6705;37;31;335;1084;11935;925;3090;3337403;-668479
22112-2711;25;26;53;246;9615;4906;2154;3335133;-269371
22114-1719;25;29;118;316;8621;2458;3734;3335533;-170742
22115-3013;25;85;432;428;2941;1968;10093;3336021;-299811
22115-6548;27;43;361;678;6279;1191;5324;3338103;-655522
22117-3903;40;45;77;108;8889;5844;7130;3336797;-388048
22118-2742;42;59;574;1234;7119;1028;4652;3336627;-274654
22126+4156;25;25;78;234;10000;3205;3333;3336955;421837
22127-4605;60;89;405;662;6742;2198;6118;3339502;-458470
22131+3703;25;25;66;185;10000;3788;3568;3338250;372998
22132-3705;112;217;1951;3712;5161;1112;5256;3340374;-368446
22132-2655;25;25;72;122;10000;3472;5902;3340227;-266799
22137-2140;25;34;87;259;7353;3908;3359;3341193;-214297
22142-0917;282;59;40;100;47797;14750;4000;3342209;-90397
22544-4120;40;25;80;700;16000;3125;1143;3443313;-410660
22545+0424;25;46;149;256;5435;3087;5820;3442658;46767
22550-4504;25;58;57;163;4310;10175;3497;3444834;-448094
22551-3607;29;49;313;897;5918;1565;3489;3444793;-358580
22551+1931;25;25;168;265;10000;1488;6340;3444055;197927
22552-6523;25;51;49;95;4902;10408;5158;3446055;-651212
22552-3400;33;35;288;1022;9429;1215;2818;3445026;-337438
22557-3230;25;35;71;217;7143;4930;3272;3446202;-322383
22558+0201;37;32;54;211;11562;5926;2559;3445887;23005
22560+0239;25;66;82;155;3788;8049;5290;3446554;29203
22562-2547;25;28;61;136;8929;4590;4485;3447508;-255260
22565+2007;25;25;44;139;10000;5682;3165;3447415;203943
22565-4809;25;27;157;247;9259;1720;6356;3448589;-478911
22565-5843;25;25;41;76;10000;6098;5395;3449007;-584536
22566+4039;25;28;84;347;8929;3333;2421;3447309;409320
22566-3758;25;46;444;1147;5435;1036;3871;3448622;-377033
22567+1320;25;31;41;224;8065;7561;1830;3447995;136077
22569+1516;25;25;78;262;10000;3205;2977;3448619;155494
22571-3430;31;35;163;433;8857;2147;3764;3449890;-342362
22573+2546;25;25;40;247;10000;6250;1619;3449461;260415
22575+1542;39;61;776;1814;6393;786;4278;3450149;159819
22577+3106;25;25;83;155;10000;3012;5355;3450425;313758
22580+1245;37;25;186;362;14800;1344;5138;3451344;130348
22581+1230;25;30;156;258;8333;1923;6047;3451540;127815
22581+0811;25;27;78;201;9259;3462;3881;3451675;84659
22581+0702;41;29;58;112;14138;5000;5179;3451732;73023
22583+2628;25;25;43;173;10000;5814;2486;3451919;267398
22584+3028;25;25;40;208;10000;6250;1923;3452045;307485
22584-5954;25;25;138;234;10000;1812;5897;3453877;-596371
22586+0523;35;79;207;458;4430;3816;4520;3452845;56544
22586-4655;25;25;45;185;10000;5556;2432;3453728;-466529
22587+0919;27;25;60;180;10800;4167;3333;3453195;96009
22589+1419;39;25;51;105;15600;4902;4857;3453697;146006
22591+0159;26;39;196;511;6667;1990;3836;3454297;22646
22596+2647;38;25;88;255;15200;2841;3451;3455117;270536
22596+2529;27;25;118;222;10800;2119;5315;3455216;257600
22597-6928;25;25;47;116;10000;5319;4052;3457538;-692136
03289+4518;25;27;49;311;9259;5510;1576;531087;454751
03290-5326;25;19;141;366;13158;1348;3852;526105;-532705
03298-2059;29;26;268;825;11154;970;3248;530122;-208200
03300-5204;39;38;381;1157;10263;997;3293;528801;-519048
03312-2352;25;25;82;317;10000;3049;2587;533599;-237117
03314-2138;25;93;868;1148;2688;1071;7561;534255;-214783
03327-0123;25;27;59;189;9259;4576;3122;538118;-12199
03327-2505;26;25;40;117;10400;6250;3419;537354;-249320
03348+4049;25;25;155;364;10000;1613;4258;545389;409826
03348-4407;30;38;352;1003;7895;1080;3509;541318;-439557
03353+7650;73;25;45;277;29200;5556;1625;554679;770071
03354+6633;46;25;140;690;18400;1786;2029;550314;667118
03367-2629;25;25;93;782;10000;2688;1189;547139;-263364
03372-3341;25;25;110;239;10000;2273;4603;547998;-335310
03382+2350;38;36;54;883;10556;6667;612;552996;240091
03383-0359;30;37;45;119;8108;8222;3782;552059;-38288
03393-2150;25;25;44;116;10000;5682;3793;553778;-216804
03394-0451;25;25;162;621;10000;1543;2609;554907;-47041
03401-1338;37;40;744;2179;9250;538;3414;556224;-134885
03401-3002;25;25;99;548;10000;2525;1807;555536;-298912
03411+6756;36;37;277;1157;9730;1336;2394;565036;680938
03412+0622;25;28;96;205;8929;2917;4683;559678;65294
03423-2019;25;25;108;223;10000;2315;4843;561548;-201702
03424-2416;25;25;46;84;10000;5435;5476;561566;-241119
03437-5918;25;25;86;210;10000;2907;4095;561929;-591570
03439+4042;25;25;72;256;10000;3472;2812;568357;408615
03448+1305;27;38;45;973;7105;8444;462;569087;132523
03449+7252;31;63;527;1144;4921;1195;4607;576439;730296
03459+1259;25;28;68;217;8929;4118;3134;571938;131392
03459+3708;38;33;57;735;11515;5789;776;573173;372911
03472-6822;25;25;120;283;10000;2083;4240;568614;-682209
03473+4207;25;28;225;455;8929;1244;4945;576967;422797
03497-0908;26;26;60;151;10000;4333;3974;580384;-89969
03497-0916;25;25;57;140;10000;4386;4071;580425;-91194
03512+1550;29;27;169;310;10741;1598;5452;585331;159901
03514+1546;32;75;601;712;4267;1248;8441;585657;159283
03531-4507;25;20;198;277;12500;1010;7148;586928;-449719
03533-2818;25;25;123;275;10000;2033;4473;588468;-281576
03554-0019;43;25;54;895;17200;4630;603;594962;-1901
03555+4311;32;25;56;174;12800;4464;3218;597418;433404
03565+2139;26;38;67;142;6842;5672;4718;598708;217957
03565-1901;25;25;40;186;10000;6250;2151;597025;-188753
03583-2519;26;26;47;107;10000;5532;4393;601062;-251826
03583-8358;23;32;401;1383;7188;798;2899;579988;-838307
03596-5307;25;28;56;88;8929;5000;6364;602250;-529924
03598+7051;26;44;48;203;5909;9167;2365;613107;709989
04008-1425;25;25;45;103;10000;5556;4369;607990;-142865
04012+2159;26;36;271;787;7222;1328;3443;610456;221305
04022-4329;28;29;310;1082;9655;935;2865;609740;-433479
04025+6940;25;25;338;2444;10000;740;1383;619421;698117
04048+0137;39;25;69;755;15600;3623;914;618595;17602
04048-5248;25;25;89;150;10000;2809;5933;615360;-526677
04064-0117;25;25;77;220;10000;3247;3500;622533;-11618
04064+0831;27;40;343;708;6750;1166;4845;622985;86484
04075-4851;105;25;79;105;42000;3165;7524;622472;-487237
04075-6123;25;27;130;232;9259;2077;5603;620850;-612689
23345-2044;25;30;65;268;8333;4615;2425;3542776;-204639
23345+1841;51;48;38;117;10625;12632;3248;3542732;189721
23347+3131;41;25;48;100;16400;5208;4800;3543153;318010
23347+0437;28;25;50;109;11200;5000;4587;3543362;49027
23348+4916;25;25;70;224;10000;3571;3125;3543080;495571
23351-4800;25;25;92;518;10000;2717;1776;3544531;-477269
23352+1425;25;30;97;135;8333;3093;7185;3544395;147055
23354-2315;34;25;69;170;13600;3623;4059;3545065;-229766
23354+3143;50;25;110;176;20000;2273;6250;3544973;319953
23354+3120;64;27;52;128;23704;5192;4062;3544980;316261
23355+0117;25;41;55;120;6098;7455;4583;3545183;15622
23356-2103;25;42;157;235;5952;2675;6681;3545560;-207816
23357+3203;25;25;70;177;10000;3571;3955;3545548;323367
23357+1157;25;35;40;179;7143;8750;2235;3545685;122281
23359+0431;25;27;129;199;9259;2093;6482;3546180;48037
23361+1540;25;36;85;291;6944;4235;2921;3546721;159565
23362-0647;50;85;354;1203;5882;2401;2943;3547043;-65163
23362+0409;25;36;99;188;6944;3636;5266;3547107;44296
23363-1314;37;46;419;1078;8043;1098;3887;3547374;-129621
23366+0512;29;44;45;107;6591;9778;4206;3547982;54852
02429-1754;25;33;106;313;7576;3113;3387;413302;-177058
02430+4444;25;25;74;291;10000;3378;2543;415850;449542
02431+3909;38;25;47;198;15200;5319;2374;415691;393615
02432+0301;25;27;91;204;9259;2967;4461;414548;32311
02433-1534;35;70;727;1430;5000;963;5084;414179;-153577
02434-1543;25;25;58;100;10000;4310;5800;414453;-155095
02435+3449;26;25;51;121;10400;4902;4215;416455;350401
02435-0747;126;230;2585;5504;5478;890;4697;415005;-75771
02435+1253;43;61;829;1595;7049;736;5197;415717;130955
02435+4149;29;25;48;108;11600;5208;4444;416973;420419
02436-5556;31;45;458;1208;6889;983;3791;412879;-557396
02437+1053;36;38;65;104;9474;5846;6250;416063;110931
02438+0323;25;28;81;322;8929;3457;2516;416035;36062
02438-3215;25;25;149;298;10000;1678;5000;414778;-320491
02439-7455;25;11;96;130;22727;1146;7385;409427;-747225
02440-0027;25;33;87;378;7576;3793;2302;416437;-2462
02440+2323;25;26;83;204;9615;3133;4069;417293;235964
02441-3029;184;580;4585;8379;3172;1265;5472;415799;-302747
02442-6931;63;25;37;100;25200;6757;3700;412151;-693144
02443-2627;25;25;40;122;10000;6250;3279;416249;-262487
02444-2710;27;27;141;279;10000;1915;5054;416590;-269725
02445-2533;25;25;43;118;10000;5814;3644;416780;-253506
02446-2251;25;25;52;177;10000;4808;2938;417188;-226465
02447+4102;25;23;172;473;10870;1337;3636;419854;412471
02448-5539;25;25;208;554;10000;1202;3755;415763;-554563
02449-0029;25;32;116;361;7812;2759;3213;418727;-2794
02450+0425;25;36;83;191;6944;4337;4346;419099;46402
02450+5032;28;31;355;1141;9032;873;3111;421222;507553
02450+4746;29;25;67;197;11600;3731;3401;421154;479909
02451+2653;25;25;154;460;10000;1623;3348;420170;271041
02457-1410;25;37;178;487;6757;2079;3655;420259;-139594
02459-1811;37;25;54;100;14800;4630;5400;420692;-179882
02461-0028;25;38;39;120;6579;9744;3250;421677;-2729
02462+1531;25;26;50;152;9615;5200;3289;422555;157272
02462+1301;77;30;97;274;25667;3093;3540;422519;132247
02463-0058;25;25;83;152;10000;3012;5461;422166;-7661
02463+4020;26;25;59;145;10400;4237;4069;423881;405502
02463+4622;25;25;108;221;10000;2315;4887;424284;465785
02464-2740;25;25;55;161;10000;4545;3416;421681;-274624
02465+4050;25;25;111;272;10000;2252;4081;424374;410509
02465+1727;25;31;40;150;8065;7750;2667;423437;176644
02465+3349;25;19;115;159;13158;1652;7233;424123;340387
02466-8539;25;34;36;135;7353;9444;2667;399572;-854430
02467+3446;25;25;66;151;10000;3788;4371;424615;349874
02467-1712;25;25;100;364;10000;2500;2747;422792;-169930
02469-0104;25;29;63;153;8621;4603;4118;423675;-8724
02471+6736;42;239;1453;2283;1757;1645;6364;428821;678130
02473-5008;25;25;77;212;10000;3247;3632;422584;-499388
02474+4127;25;42;127;192;5952;3307;6615;426637;416704
02474-3046;25;25;63;192;10000;3968;3281;424027;-305757
02475-1222;25;25;58;219;10000;4310;2648;424937;-121629
02475-0104;25;30;45;122;8333;6667;3689;425350;-8688
02476-3858;25;40;450;679;6250;889;6627;423950;-387699
02477+5040;25;25;149;318;10000;1678;4686;428142;508762
02482-5235A;25;25;49;137;10000;5102;3577;424517;-523808
02482-4659;25;25;80;157;10000;3125;5096;425017;-467920
