galname;fnu_12;fnu_25;fnu_60;fnu_100;rat_12_25;rat_25_60;rat_60_100;ra;dec
03501+3209;25;30;75;422;8333;4000;1777;583210;323092
03504+7246;25;25;136;263;10000;1838;5171;590164;729223
03504-4440;25;25;58;128;10000;4310;4531;580331;-445325
03509+1949;28;30;54;227;9333;5556;2379;584549;199794
03510-6004;25;26;96;296;9615;2708;3243;579920;-599291
03512-4737;38;25;84;228;15200;2976;3684;581970;-474763
03514+1726;25;28;54;240;8929;5185;2250;585770;175886
03516-1744;25;25;40;104;10000;6250;3846;584678;-175907
03516-2906;25;25;42;109;10000;5952;3853;584226;-289576
03521+0607;30;64;40;148;4688;16000;2703;587122;62649
03521-1920;25;25;42;125;10000;5952;3360;586049;-191893
03524-2038;160;463;3152;4652;3456;1469;6776;586591;-205024
03524-3706;27;25;32;78;10800;7812;4103;585780;-369688
03529-3558;25;25;40;100;10000;6250;4000;586942;-358324
03540-4230;25;35;327;672;7143;1070;4866;589380;-423685
03542+0822;25;28;53;143;8929;5283;3706;592426;85132
03543-7216;25;17;107;221;14706;1589;4842;584998;-721335
03545-6605;25;25;69;162;10000;3623;4259;587366;-659422
03549-1855;25;25;107;306;10000;2336;3497;592929;-187764
03550+6657;25;25;95;1190;10000;2632;798;599761;671009
03551+7356;25;25;57;307;10000;4386;1857;602558;740839
03553+1826;28;32;58;176;8750;5517;3295;595469;185845
03555+7808;25;25;43;125;10000;5814;3440;606855;782809
03557-5932;25;25;106;344;10000;2358;3081;591636;-593942
03558-4621;25;25;221;824;10000;1131;2682;593652;-462084
03559+4310;25;25;123;263;10000;2033;4677;598601;433116
03561-6611;25;37;196;306;6757;1888;6405;591381;-660405
03562-4902;25;25;119;433;10000;2101;2748;594280;-489059
03563-3535;25;25;76;214;10000;3289;3551;595530;-354457
03564+0105;142;26;65;145;54615;4000;4483;597538;12308
03567-4436;25;25;156;447;10000;1603;3490;595873;-444659
03572+7134;25;25;138;416;10000;1812;3317;606709;717086
03576+2011;33;33;53;145;10000;6226;3655;601360;203304
03576+7134;25;25;81;281;10000;3086;2883;607778;717151
03577+2054;44;29;61;823;15172;4754;741;601620;210489
03577-2116;25;25;40;107;10000;6250;3738;599777;-211348
03578+1726;29;42;37;144;6905;11351;2569;601874;175788
03579+4241;27;43;378;605;6279;1138;6248;603421;428345
03584+7831;25;25;48;123;10000;5208;3902;614471;786589
03585+0524;25;34;63;208;7353;5397;3029;602979;55524
03588-5330;25;25;83;232;10000;3012;3578;600179;-533699
03590-4910;25;25;94;249;10000;2660;3775;601232;-490274
03592+4629;27;26;77;215;10385;3377;3581;607003;466242
03593-6125;25;34;59;244;7353;5763;2418;600299;-612810
03593+2540;32;32;43;504;10000;7442;853;605951;258194
03594-6746;69;206;2260;4150;3350;912;5446;599051;-676358
04001-6756;38;25;51;116;15200;4902;4397;600790;-678057
04001-1811;25;47;274;522;5319;1715;5249;606077;-180469
04002+0149;28;54;485;1217;5185;1113;3985;606999;19651
04004+4605;25;45;288;499;5556;1562;5772;609997;462293
04004+2613;40;30;67;169;13333;4478;3964;608736;263624
04005-2115;25;25;77;196;10000;3247;3929;606934;-211164
04007+2415;27;30;40;683;9000;7500;586;609431;244001
04007+2201;25;71;448;959;3521;1585;4672;609336;221582
04014+3340;27;29;143;356;9310;2028;4017;611649;338084
04015-1118;25;30;266;519;8333;1128;5125;609794;-111784
04018-6227;29;25;64;232;11600;3906;2759;606379;-623153
04019-4332;40;25;89;113;16000;2809;7876;608888;-433983
04019-0219;25;25;148;379;10000;1689;3905;611127;-21878
04020+2507;25;28;126;356;8929;2222;3539;612592;252654
04021+5118;109;263;929;4381;4144;2831;2121;614841;514435
04021-8112;33;25;111;403;13200;2252;2754;596395;-810650
04027-7519;25;25;89;198;10000;2809;4495;604141;-751847
04028-5414;25;27;230;922;9259;1174;2495;610104;-540988
04028+0416;25;25;118;148;10000;2119;7973;613749;44106
04032+6932;40;25;101;279;16000;2475;3620;621184;696724
04033+3108;25;33;101;262;7576;3267;3855;616201;312837
04046-2118;25;25;225;624;10000;1111;3606;616955;-211768
04046-1018;25;25;69;109;10000;3623;6330;617514;-101717
04048-6558;25;25;76;218;10000;3289;3486;613020;-658399
04050+0350;25;25;183;497;10000;1366;3682;619123;39700
04050+2309;25;33;132;320;7576;2500;4125;620145;232933
04057-2959;25;25;68;239;10000;3676;2845;619403;-298574
04058-5325;26;25;45;94;10400;5556;4787;617637;-532959
04058-1719;25;25;92;238;10000;2717;3866;620328;-171918
04061-1407;37;25;51;134;14800;4902;3806;621092;-139857
04061-7421;30;25;64;121;12000;3906;5289;613121;-742248
04063+3652;26;25;67;205;10400;3731;3268;624204;370076
04066-7507;59;25;86;138;23600;2907;6232;613837;-749964
04066-2151;25;25;83;179;10000;3012;4637;622032;-217218
04068+7452;26;25;67;131;10400;3731;5115;632580;750055
