galname,fnu_12,fnu_25,fnu_60,fnu_100,rat_12_25,rat_25_60,rat_60_100,ra,dec
09053+2212,0.25,0.69,0.74,1.23,0.3623,0.9324,0.6016,137.0494,21.9988
09053+3549,0.25,0.25,1.14,2.51,1.0000,0.2193,0.4542,137.1240,35.6179
09054+4957,0.25,0.51,0.47,1.17,0.4902,1.0851,0.4017,137.2199,49.7533
09054+2906,0.25,0.32,0.97,1.56,0.7812,0.3299,0.6218,137.1172,28.9114
09054+5402,0.25,0.58,0.74,2.98,0.4310,0.7838,0.2483,137.2760,53.8465
09056+6437,0.74,0.59,0.56,1.27,1.2542,1.0536,0.4409,137.4508,64.4239
09059+6227,0.25,0.25,1.71,4.99,1.0000,0.1462,0.3427,137.4901,62.2476
09060-3721,0.41,0.25,0.68,7.32,1.6400,0.3676,0.0929,137.0124,-37.5601
09060-3348,0.25,0.25,1.06,3.18,1.0000,0.2358,0.3333,137.0336,-34.0182
09064+2426,0.25,0.41,0.59,1.27,0.6098,0.6949,0.4646,137.3486,24.2423
09065+3319,0.25,0.26,1.67,5.42,0.9615,0.1557,0.3081,137.3912,33.1228
09067-0057,0.25,0.26,0.52,1.74,0.9615,0.5000,0.2989,137.3208,-1.1667
09067-3824,0.25,0.20,2.00,6.16,1.2500,0.1000,0.3247,137.1890,-38.6073
09070+7348,0.27,0.25,0.39,1.11,1.0800,0.6410,0.3514,138.0403,73.5976
09070-7537,0.28,0.38,3.74,9.77,0.7368,0.1016,0.3828,136.6468,-75.8280
09070+0722,0.27,0.39,2.84,5.26,0.6923,0.1373,0.5399,137.4352,7.1733
09070-3541,1.31,0.34,0.52,2.09,3.8529,0.6538,0.2488,137.2763,-35.8898
