galname,fnu_12,fnu_25,fnu_60,fnu_100,rat_12_25,rat_25_60,rat_60_100,ra,dec
21121-5926,0.37,0.25,0.51,1.61,1.4800,0.4902,0.3168,318.9798,-59.2286
21121-6440,0.25,0.26,1.22,3.70,0.9615,0.2131,0.3297,319.0658,-64.4640
21122-2230,0.26,0.30,0.68,1.71,0.8667,0.4412,0.3977,318.7806,-22.2931
21122-3326,0.45,0.25,0.56,1.74,1.8000,0.4464,0.3218,318.8276,-33.2263
21123+1039,0.25,0.25,0.89,0.86,1.0000,0.2809,1.0349,318.6872,10.8723
21123+0237,0.25,0.25,0.68,2.30,1.0000,0.3676,0.2957,318.7303,2.8338
21126+0655,0.25,0.25,1.06,2.43,1.0000,0.2358,0.4362,318.7900,7.1382
21133+1527,0.41,0.25,0.43,2.28,1.6400,0.5814,0.1886,318.9299,15.6748
21139-5904,0.25,0.31,3.26,5.04,0.8065,0.0951,0.6468,319.4293,-58.8705
21140-3411,0.25,0.32,0.91,1.49,0.7812,0.3516,0.6107,319.2672,-33.9874
21143-6358,0.25,0.25,0.57,2.50,1.0000,0.4386,0.2280,319.5890,-63.7582
21143-4127,0.25,0.25,1.72,3.31,1.0000,0.1453,0.5196,319.3899,-41.2499
21144-4836,0.25,0.25,1.02,2.58,1.0000,0.2451,0.3953,319.4529,-48.3911
21144-0656,0.25,0.25,0.77,1.95,1.0000,0.3247,0.3949,319.2810,-6.7270
21144+1303,0.25,0.25,0.81,1.70,1.0000,0.3086,0.4765,319.2196,13.2687
21146+2359,0.25,0.25,1.80,3.73,1.0000,0.1389,0.4826,319.2223,24.2057
21150-2302,0.32,0.28,0.71,1.22,1.1429,0.3944,0.5820,319.4850,-22.8372
21156-4846,0.25,0.25,0.60,1.97,1.0000,0.4167,0.3046,319.7541,-48.5627
21162-5227,0.28,0.25,0.92,1.33,1.1200,0.2717,0.6917,319.9413,-52.2402
21163+0203,0.25,0.25,0.82,1.55,1.0000,0.3049,0.5290,319.7110,2.2622
21163+2613,0.25,0.25,0.45,1.48,1.0000,0.5556,0.3041,319.6318,26.4418
21163+2230,0.61,0.27,0.40,1.22,2.2593,0.6750,0.3279,319.6569,22.7271
21164+0538,1.21,0.30,0.40,1.06,4.0333,0.7500,0.3774,319.7379,5.8503
21165-6814,0.64,0.25,0.68,1.60,2.5600,0.3676,0.4250,320.2224,-68.0229
21169-2430,0.27,0.44,0.42,1.32,0.6136,1.0476,0.3182,319.9497,-24.2949
21170-3958,0.47,0.25,0.54,1.11,1.8800,0.4630,0.4865,320.0459,-39.7650
21170+1350,0.25,0.25,1.36,3.26,1.0000,0.1838,0.4172,319.8609,14.0574
23402+2701,1.31,0.25,1.16,3.06,5.2400,0.2155,0.3791,355.6984,27.3016
23404-7250,0.25,0.25,0.67,2.13,1.0000,0.3731,0.3146,355.8352,-72.5657
23405+1822,0.25,0.29,1.04,1.68,0.8621,0.2788,0.6190,355.7775,18.6581
23406+0415,0.25,0.68,2.16,3.43,0.3676,0.3148,0.6297,355.8011,4.5431
23407+4942,0.25,0.25,0.67,2.65,1.0000,0.3731,0.2528,355.8111,49.9789
23413+2547,1.38,0.37,2.02,7.29,3.7297,0.1832,0.2771,355.9788,26.0759
23414+0014,0.26,0.57,4.45,7.99,0.4561,0.1281,0.5569,356.0081,0.5165
23415+2850,0.61,0.25,0.47,1.27,2.4400,0.5319,0.3701,356.0204,29.1217
23415-0626,0.25,0.41,0.71,1.36,0.6098,0.5775,0.5221,356.0376,-6.1721
23416+0031,0.25,0.48,1.01,1.82,0.5208,0.4752,0.5549,356.0538,0.8037
23417+1029,0.25,0.44,3.03,6.45,0.5682,0.1452,0.4698,356.0685,10.7685
23417+0939,0.25,0.42,0.97,2.50,0.5952,0.4330,0.3880,356.0821,9.9326
23418+0523,0.25,0.32,0.56,1.42,0.7812,0.5714,0.3944,356.1121,5.6632
23425+1937,0.25,0.25,0.93,2.79,1.0000,0.2688,0.3333,356.2820,19.8991
23430-6334,0.25,0.22,1.83,2.89,1.1364,0.1202,0.6332,356.4377,-63.3027
23433-7533,0.25,0.26,1.30,4.63,0.9615,0.2000,0.2808,356.5426,-75.2774
23433+1147,0.31,0.40,3.19,5.98,0.7750,0.1254,0.5334,356.4826,12.0628
23437-2603,0.29,0.25,0.62,1.89,1.1600,0.4032,0.3280,356.5745,-25.7869
23437+3305,0.25,0.37,0.61,1.94,0.6757,0.6066,0.3144,356.5567,33.3719
23440+0331,0.25,0.61,1.24,3.88,0.4098,0.4919,0.3196,356.6591,3.8017
23443-4502,0.39,0.32,0.97,1.69,1.2188,0.3299,0.5740,356.7563,-44.7623
23445+2911,0.29,0.46,4.83,10.31,0.6304,0.0952,0.4685,356.7581,29.4734
23446+1519,0.25,1.22,4.20,3.54,0.2049,0.2905,1.1864,356.7888,15.5962
23446-6403,0.25,0.25,1.03,2.62,1.0000,0.2427,0.3931,356.8382,-63.7734
23447+3230,0.28,0.25,0.37,1.14,1.1200,0.6757,0.3246,356.8144,32.7834
23448+0139,0.29,0.82,0.66,1.18,0.3537,1.2424,0.5593,356.8401,1.9362
23451-5721,0.25,0.25,0.60,1.36,1.0000,0.4167,0.4412,356.9413,-57.0778
23451+2709,0.25,0.44,0.79,1.50,0.5682,0.5570,0.5267,356.9314,27.4284
23452+5100,0.61,0.25,0.40,1.42,2.4400,0.6250,0.2817,356.9328,51.2923
23461+0157,0.25,0.63,1.80,2.75,0.3968,0.3500,0.6545,357.1722,2.2391
23461+0353,0.25,0.39,1.11,3.41,0.6410,0.3514,0.3255,357.1871,4.1727
23462-6830,1.43,0.25,0.37,0.80,5.7200,0.6757,0.4625,357.2497,-68.2322
23462-1940,0.25,0.26,0.60,1.96,0.9615,0.4333,0.3061,357.2206,-19.3917
23464-0720,0.25,0.35,0.94,2.56,0.7143,0.3723,0.3672,357.2530,-7.0567
23464+2630,0.29,0.25,0.54,1.18,1.1600,0.4630,0.4576,357.2566,26.7905
23466-1652,0.29,0.29,0.66,1.46,1.0000,0.4394,0.4521,357.3043,-16.5956
23471+2939,0.38,0.33,2.43,5.63,1.1515,0.1358,0.4316,357.4164,29.9327
23477+3623,0.25,0.25,0.87,2.49,1.0000,0.2874,0.3494,357.5683,36.6666
23480+2842,0.46,0.25,0.57,1.46,1.8400,0.4386,0.3904,357.6356,28.9944
23485+4626,0.46,0.25,0.34,1.80,1.8400,0.7353,0.1889,357.7551,46.7250
23485+1952,0.41,0.59,4.77,11.58,0.6949,0.1237,0.4119,357.7653,20.1498
23485+0046,0.25,0.70,0.87,1.90,0.3571,0.8046,0.4579,357.7817,1.0573
23486+2652,1.15,0.39,0.40,1.00,2.9487,0.9750,0.4000,357.7882,27.1600
23488+1949,0.68,1.72,18.15,38.78,0.3953,0.0948,0.4680,357.8534,20.1106
23488+2018,0.52,2.43,16.98,20.98,0.2140,0.1431,0.8093,357.8566,20.5837
23496-2540,0.25,0.30,0.95,2.80,0.8333,0.3158,0.3393,358.0568,-25.4026
23496+0806,0.25,0.73,0.42,1.70,0.3425,1.7381,0.2471,358.0533,8.3943
23498+2829,0.25,0.34,1.84,4.38,0.7353,0.1848,0.4201,358.1031,28.7731
23499-2837,0.38,0.25,0.61,1.48,1.5200,0.4098,0.4122,358.1285,-28.3404
23509+0750,1.09,0.44,0.56,1.37,2.4773,0.7857,0.4088,358.3702,8.1213
23513+0741,0.25,0.30,0.77,3.20,0.8333,0.3896,0.2406,358.4736,7.9716
23518-0212,0.25,0.66,0.43,1.35,0.3788,1.5349,0.3185,358.6056,-1.9334
23528+2118,0.25,0.25,1.18,4.01,1.0000,0.2119,0.2943,358.8391,21.5877
02538+0424,0.44,0.31,0.51,1.38,1.4194,0.6078,0.3696,44.1246,4.6121
02539+0040,0.25,0.37,0.44,1.12,0.6757,0.8409,0.3929,44.1224,0.8787
02539+0913,0.25,0.34,1.15,3.10,0.7353,0.2957,0.3710,44.1652,9.4225
02540-0258,0.72,0.90,0.40,1.46,0.8000,2.2500,0.2740,44.1339,-2.7702
02540+0707,0.25,0.28,0.71,2.38,0.8929,0.3944,0.2983,44.1793,7.3308
02540-2814,0.25,0.25,0.58,1.62,1.0000,0.4310,0.3580,44.0559,-28.0429
02543+0600,0.25,0.29,1.26,2.27,0.8621,0.2302,0.5551,44.2384,6.2070
02543+1718,0.29,0.34,0.44,1.77,0.8529,0.7727,0.2486,44.2883,17.5155
02547+4617,0.25,0.25,1.37,2.64,1.0000,0.1825,0.5189,44.5198,46.4979
02547+1014,0.25,0.35,0.53,2.13,0.7143,0.6604,0.2488,44.3643,10.4463
02552+2349,0.25,0.25,0.55,1.59,1.0000,0.4545,0.3459,44.5396,24.0324
02552+3208,0.25,0.25,1.09,2.61,1.0000,0.2294,0.4176,44.5797,32.3371
02553-0232,0.25,0.29,0.92,3.01,0.8621,0.3152,0.3056,44.4744,-2.3408
02554-1021,0.25,0.25,0.88,2.48,1.0000,0.2841,0.3548,44.4593,-10.1658
02554-5445,0.38,0.25,0.44,1.10,1.5200,0.5682,0.4000,44.2230,-54.5587
02557-1033,0.25,0.53,2.59,4.98,0.4717,0.2046,0.5201,44.5515,-10.3528
02558+0606,0.25,0.29,1.40,3.34,0.8621,0.2071,0.4192,44.6230,6.3057
02559+4652,0.98,0.25,0.57,1.84,3.9200,0.4386,0.3098,44.8423,47.0785
02560-7203,0.25,0.25,0.66,1.70,1.0000,0.3788,0.3882,44.0666,-71.8551
02566+0556,0.40,0.26,0.60,1.71,1.5385,0.4333,0.3509,44.8121,6.1322
02566+3528,0.59,0.25,0.98,4.35,2.3600,0.2551,0.2253,44.9444,35.6661
02567-3217,0.25,0.27,2.29,4.72,0.9259,0.1179,0.4852,44.7012,-32.0981
02567+2502,0.25,0.48,5.33,10.56,0.5208,0.0901,0.5047,44.9252,25.2375
02568+3637,0.50,2.31,10.45,13.10,0.2165,0.2211,0.7977,44.9952,36.8207
02569-4949,0.25,0.25,0.35,1.07,1.0000,0.7143,0.3271,44.6430,-49.6223
02570+2401,0.29,0.32,0.41,1.76,0.9062,0.7805,0.2330,44.9895,24.2276
02570-3726,0.25,0.25,0.36,1.48,1.0000,0.6944,0.2432,44.7588,-37.2447
02571+4850,0.25,0.25,0.96,2.89,1.0000,0.2604,0.3322,45.1475,49.0431
02571-1349,0.32,0.25,0.59,1.15,1.2800,0.4237,0.5130,44.8792,-13.6203
02572+0253,0.25,0.27,0.60,1.87,0.9259,0.4500,0.3209,44.9600,3.0862
02572+0234,0.25,0.69,3.60,5.78,0.3623,0.1917,0.6228,44.9631,2.7720
02575+4257,0.25,0.25,1.38,3.13,1.0000,0.1812,0.4409,45.2010,43.1636
02578-1100,0.25,0.26,0.73,1.38,0.9615,0.3562,0.5290,45.0550,-10.8064
02578+4112,0.29,0.26,0.43,1.52,1.1154,0.6047,0.2829,45.2878,41.3992
02579+4442,0.25,0.25,2.06,5.51,1.0000,0.1214,0.3739,45.3111,44.8975
02579+4445,0.25,0.23,2.78,5.51,1.0870,0.0827,0.5045,45.3128,44.9575
02580-1720,0.25,0.26,0.67,1.89,0.9615,0.3881,0.3545,45.0922,-17.1519
02580-1136,0.29,0.49,0.56,0.77,0.5918,0.8750,0.7273,45.1173,-11.4178
02581-5715,0.25,0.25,0.72,1.16,1.0000,0.3472,0.6207,44.8681,-57.0520
02581-1555,0.25,0.25,0.56,2.70,1.0000,0.4464,0.2074,45.1233,-15.7325
02587+1629,0.27,0.25,0.78,1.49,1.0800,0.3205,0.5235,45.3859,16.6831
02589+3554,0.25,0.25,1.36,4.14,1.0000,0.1838,0.3285,45.5123,36.0970
02591+2854,0.25,0.25,0.48,1.94,1.0000,0.5208,0.2474,45.5376,29.1079
02591-0047,0.25,0.28,0.84,2.16,0.8929,0.3333,0.3889,45.4312,-0.5941
02593-0157,0.25,0.28,1.11,2.77,0.8929,0.2523,0.4007,45.4713,-1.7562
02599+0200,0.25,0.25,1.17,2.68,1.0000,0.2137,0.4366,45.6433,2.1960
03001+4644,0.26,0.25,0.72,2.03,1.0400,0.3472,0.3547,45.8989,46.9432
03002+4612,0.25,0.25,1.02,5.16,1.0000,0.2451,0.1977,45.9213,46.4001
03004+0411,0.25,0.40,1.16,1.62,0.6250,0.3448,0.7160,45.7659,4.3901
03004-0134,0.25,0.28,0.62,1.39,0.8929,0.4516,0.4460,45.7568,-1.3716
03005-0919,0.29,0.25,0.81,2.93,1.1600,0.3086,0.2765,45.7476,-9.1310
03006+4312,0.25,0.25,1.26,4.02,1.0000,0.1984,0.3134,45.9938,43.3973
03006+0404,0.30,0.26,0.49,1.32,1.1538,0.5306,0.3712,45.8222,4.2774
03007+0417,0.25,0.27,0.66,1.96,0.9259,0.4091,0.3367,45.8517,4.4928
03009+4804,0.25,0.25,0.78,2.82,1.0000,0.3205,0.2766,46.0927,48.2731
03009-4826,0.84,0.58,0.36,1.00,1.4483,1.6111,0.3600,45.6654,-48.2494
03012-0117,0.24,0.54,0.79,1.00,0.4444,0.6835,0.7900,45.9552,-1.1034
03018-5041,0.25,0.25,0.92,2.43,1.0000,0.2717,0.3786,45.8520,-50.4959
03021-2753,0.25,0.25,0.80,1.12,1.0000,0.3125,0.7143,46.0816,-27.6917
03021+7956,0.23,0.38,3.04,7.56,0.6053,0.1250,0.4021,47.3356,80.1298
03022+4238,0.28,0.55,3.84,9.69,0.5091,0.1432,0.3963,46.3797,42.8362
03022-1232,0.37,1.01,7.74,10.80,0.3663,0.1305,0.7167,46.1666,-12.3408
03023-6121,0.25,0.25,0.61,1.45,1.0000,0.4098,0.4207,45.8625,-61.1603
03024-4716,0.25,0.25,0.99,1.82,1.0000,0.2525,0.5440,46.0310,-47.0756
03025+0009,0.25,0.26,0.46,1.61,0.9615,0.5652,0.2857,46.2877,0.3455
03027+0211,0.25,0.28,1.26,2.49,0.8929,0.2222,0.5060,46.3303,2.3803
03027-2741,0.26,0.25,0.89,1.25,1.0400,0.2809,0.7120,46.2343,-27.5048
03028+2200,0.25,0.26,0.91,3.40,0.9615,0.2857,0.2676,46.4408,22.2039
03029+4211,0.25,0.25,0.78,3.86,1.0000,0.3205,0.2021,46.5502,42.3779
03029+0555,0.72,0.27,0.40,1.31,2.6667,0.6750,0.3053,46.4076,6.1167
03031-4907,0.25,0.25,0.79,1.55,1.0000,0.3165,0.5097,46.1979,-48.9296
03032+3549,0.40,0.25,1.43,2.37,1.6000,0.1748,0.6034,46.5903,36.0143
03037-0943,0.25,0.26,0.45,1.80,0.9615,0.5778,0.2500,46.5507,-9.5394
03040+3408,0.25,0.33,0.40,2.18,0.7576,0.8250,0.1835,46.7841,34.3353
03040+7022,0.25,0.31,3.38,7.29,0.8065,0.0917,0.4636,47.2280,70.5625
03041+4719,0.25,0.38,1.72,3.47,0.6579,0.2209,0.4957,46.8890,47.5201
03041-3913,0.25,0.25,1.13,4.24,1.0000,0.2212,0.2665,46.5248,-39.0345
03043-0059,0.34,0.71,0.41,2.59,0.4789,1.7317,0.1583,46.7158,-0.7938
03044-0949,0.72,0.25,0.47,1.00,2.8800,0.5319,0.4700,46.7240,-9.6331
03046-0218,0.26,0.36,0.72,0.97,0.7222,0.5000,0.7423,46.7916,-2.1113
03050+3811,0.25,0.43,2.60,6.40,0.5814,0.1654,0.4062,47.0621,38.3824
03050-1246,0.25,0.27,1.30,1.78,0.9259,0.2077,0.7303,46.8660,-12.5855
03051-3135,0.28,0.25,0.47,1.09,1.1200,0.5319,0.4312,46.7934,-31.4029
03052-0059,0.25,0.25,0.40,1.74,1.0000,0.6250,0.2299,46.9400,-0.7974
03056-2715,0.25,0.25,0.54,0.86,1.0000,0.4630,0.6279,46.9462,-27.0689
03056+2034,0.25,0.75,4.20,6.38,0.3333,0.1786,0.6583,47.1267,20.7729
03058+0154,0.25,0.25,0.87,3.10,1.0000,0.2874,0.2806,47.1052,2.1029
03058-6657,0.25,0.25,0.58,2.52,1.0000,0.4310,0.2302,46.6319,-66.7723
03060-7025,0.25,0.25,0.31,0.74,1.0000,0.8065,0.4189,46.5825,-70.2340
03405+3951,0.25,0.28,2.02,3.48,0.8929,0.1386,0.5805,55.9782,40.0157
03406+3908,0.32,0.53,4.69,8.93,0.6038,0.1130,0.5252,55.9867,39.2946
03407-0453,0.25,0.26,0.77,1.76,0.9615,0.3377,0.4375,55.8121,-4.7295
03411+4613,0.28,0.25,0.70,1.19,1.1200,0.3571,0.5882,56.1726,46.3834
03412+6759,0.75,1.31,8.53,11.64,0.5725,0.1536,0.7328,56.5363,68.1517
08256+1738,0.25,0.42,0.50,1.66,0.5952,0.8400,0.3012,127.1332,17.4678
08256+5510,1.12,0.25,0.56,1.58,4.4800,0.4464,0.3544,127.3842,55.0115
08258+3824,0.25,0.26,0.66,1.79,0.9615,0.3939,0.3687,127.2749,38.2380
08259+4331,0.25,0.25,1.12,2.69,1.0000,0.2232,0.4164,127.3422,43.3581
08263+0047,0.29,0.25,0.73,1.22,1.1600,0.3425,0.5984,127.2262,0.6228
08263+3035,0.27,0.35,0.44,1.00,0.7714,0.7955,0.4400,127.3612,30.4223
08267-2733,0.25,0.25,0.45,1.79,1.0000,0.5556,0.2514,127.1999,-27.7184
08267-3703,0.25,0.21,2.13,5.81,1.1905,0.0986,0.3666,127.1520,-37.2195
08269+0122,0.25,0.28,2.31,3.52,0.8929,0.1212,0.6562,127.3918,1.2019
08277-0242,0.25,0.42,1.52,1.82,0.5952,0.2763,0.8352,127.5627,-2.8816
08277+2046,0.25,0.44,0.60,1.51,0.5682,0.7333,0.3974,127.6629,20.6002
08279-8449,0.25,0.25,0.41,1.82,1.0000,0.6098,0.2253,125.1021,-84.9817
08287+5246,0.25,0.70,4.80,7.49,0.3571,0.1458,0.6409,128.1160,52.6058
08287-3025,0.25,0.25,0.45,1.50,1.0000,0.5556,0.3000,127.7082,-30.5974
08290+2411,1.29,0.36,0.50,1.20,3.5833,0.7200,0.4167,128.0067,24.0139
08290+1922,0.29,0.39,0.50,1.40,0.7436,0.7800,0.3571,127.9915,19.2095
08291+7518,0.25,0.25,0.59,1.38,1.0000,0.4237,0.4275,128.7549,75.1402
08292+2243,0.25,0.32,0.75,2.32,0.7812,0.4267,0.3233,128.0462,22.5604
08294-6449,0.25,0.25,0.85,2.74,1.0000,0.2941,0.3102,127.5282,-64.9960
08296+5242,0.25,0.25,0.90,2.27,1.0000,0.2778,0.3965,128.3448,52.5330
08299+0956,0.27,0.48,0.43,1.50,0.5625,1.1163,0.2867,128.1688,9.7773
15355+2235,0.29,0.25,0.45,1.64,1.1600,0.5556,0.2744,234.4376,22.4262
15360-2548,0.33,0.30,1.47,13.44,1.1000,0.2041,0.1094,234.7631,-25.9766
15361+1220,0.34,0.23,2.66,9.58,1.4783,0.0865,0.2777,234.6236,12.1868
15361-0313,0.33,0.65,4.30,6.44,0.5077,0.1512,0.6677,234.6867,-3.3803
15361-0306,0.68,0.26,0.55,1.75,2.6154,0.4727,0.3143,234.6884,-3.2783
15362-3822,0.28,0.36,0.94,3.33,0.7778,0.3830,0.2823,234.8728,-38.5371
15362+7336,0.29,0.61,1.31,2.01,0.4754,0.4656,0.6517,233.9464,73.4512
15364+0444,0.25,0.25,0.75,2.39,1.0000,0.3333,0.3138,234.7298,4.5813
15367+2934,0.34,0.25,0.40,0.82,1.3600,0.6250,0.4878,234.7059,29.4207
15368-3023,0.25,0.43,1.40,5.01,0.5814,0.3071,0.2794,234.9939,-30.5535
15370+3155,0.25,0.25,0.93,1.85,1.0000,0.2688,0.5027,234.7612,31.7598
15371+2436,0.25,0.25,0.64,1.88,1.0000,0.3906,0.3404,234.8197,24.4541
15373+2506,0.25,0.61,2.27,2.88,0.4098,0.2687,0.7882,234.8627,24.9465
15374-0045,0.26,0.25,0.66,1.05,1.0400,0.3788,0.6286,234.9978,-0.9124
15374+4401,0.25,0.21,1.56,3.01,1.1905,0.1346,0.5183,234.7805,43.8645
15374-1817,0.29,0.33,0.58,1.97,0.8788,0.5690,0.2944,235.0829,-18.4444
15375+1420,0.53,0.25,0.43,1.14,2.1200,0.5814,0.3772,234.9617,14.1879
15384+4606,0.31,0.25,0.47,0.94,1.2400,0.5319,0.5000,235.0083,45.9488
15384+0954,0.25,0.25,0.54,1.62,1.0000,0.4630,0.3333,235.2221,9.7472
15385+2127,0.44,0.25,0.50,1.42,1.7600,0.5000,0.3521,235.1787,21.2950
15385+5929,0.25,0.25,0.98,6.20,1.0000,0.2551,0.1581,234.9053,59.3275
15387+5814,0.40,0.25,0.40,0.82,1.6000,0.6250,0.4878,234.9710,58.0794
15388+1544,0.26,0.33,0.37,1.63,0.7879,0.8919,0.2270,235.2889,15.5748
15390+2210,0.25,0.25,0.53,1.12,1.0000,0.4717,0.4732,235.3114,22.0219
15390-3123,0.27,0.29,0.60,1.75,0.9310,0.4833,0.3429,235.5460,-31.5485
15395+2809,0.33,0.25,0.40,1.00,1.3200,0.6250,0.4000,235.4039,27.9954
15396+1659,0.25,0.25,0.39,1.13,1.0000,0.6410,0.3451,235.4849,16.8411
15400-3158,0.38,0.65,0.40,2.11,0.5846,1.6250,0.1896,235.7926,-32.1373
15400+2746,0.34,0.25,0.74,1.87,1.3600,0.3378,0.3957,235.5444,27.6093
15403-1225,0.25,0.40,0.56,1.58,0.6250,0.7143,0.3544,235.7916,-12.5757
15404+4008,0.25,0.25,0.39,1.39,1.0000,0.6410,0.2806,235.5653,39.9817
15405+0923,0.26,0.25,0.59,1.54,1.0400,0.4237,0.3831,235.7294,9.2284
15405-6608,0.45,0.25,0.46,2.03,1.8000,0.5435,0.2266,236.2918,-66.2947
15407-4105,0.78,0.28,0.55,2.47,2.7857,0.5091,0.2227,236.0242,-41.2468
15408+0952,0.25,0.25,1.44,2.82,1.0000,0.1736,0.5106,235.8157,9.7229
15410+0804,0.25,0.25,0.91,1.69,1.0000,0.2747,0.5385,235.8610,7.9117
15411-7801,0.25,0.25,1.28,3.28,1.0000,0.1953,0.3902,237.0232,-78.1740
15414+0637,0.25,0.41,0.60,1.29,0.6098,0.6833,0.4651,235.9819,6.4639
15415+0455,0.25,1.15,1.08,1.58,0.2174,1.0648,0.6835,236.0133,4.7695
15416+2834,0.56,0.25,0.38,1.05,2.2400,0.6579,0.3619,235.9409,28.4131
15417+4416,0.25,0.25,0.74,1.53,1.0000,0.3378,0.4837,235.8502,44.1215
15420+4355,0.33,0.25,0.52,1.69,1.3200,0.4808,0.3077,235.9419,43.7661
15421-7531,0.28,0.39,3.00,9.17,0.7179,0.1300,0.3272,237.0688,-75.6729
15423+5343,0.28,0.25,0.42,1.16,1.1200,0.5952,0.3621,235.9185,53.5717
15425+4114,0.25,0.30,1.50,4.27,0.8333,0.2000,0.3513,236.0868,41.0855
15426+4116,0.25,0.27,0.93,4.67,0.9259,0.2903,0.1991,236.1111,41.1167
15432+0234,0.25,0.25,0.80,1.91,1.0000,0.3125,0.4188,236.4399,2.4115
15433+6755,0.47,0.62,0.40,0.88,0.7581,1.5500,0.4545,235.9120,67.7666
15434+2043,0.25,0.25,0.40,0.91,1.0000,0.6250,0.4396,236.4207,20.5685
15436-2834,0.42,0.31,0.56,14.58,1.3548,0.5536,0.0384,236.6765,-28.7317
15437+0234,0.63,1.69,9.94,15.85,0.3728,0.1700,0.6271,236.5669,2.4151
15440-6710,0.25,0.25,1.07,3.31,1.0000,0.2336,0.3233,237.2167,-67.3229
15444-0049,0.25,0.34,0.78,2.30,0.7353,0.4359,0.3391,236.7511,-0.9867
15444+0602,0.25,0.32,1.07,1.46,0.7812,0.2991,0.7329,236.7261,5.8918
15445+7235,0.25,0.25,0.40,0.84,1.0000,0.6250,0.4762,236.0383,72.4297
15447+1802,0.25,0.54,4.10,7.60,0.4630,0.1317,0.5395,236.7443,17.8829
15447+3109,0.25,0.25,0.40,1.00,1.0000,0.6250,0.4000,236.6834,31.0100
15452-4104,0.32,0.46,4.30,8.86,0.6957,0.1070,0.4853,237.1458,-41.2245
15452-2444,0.28,0.29,1.83,10.50,0.9655,0.1585,0.1743,237.0574,-24.8871
15454+2613,0.25,0.25,1.06,2.31,1.0000,0.2358,0.4589,236.9016,26.0636
15455-3157,0.25,0.33,1.88,3.67,0.7576,0.1755,0.5123,237.1782,-32.1189
15456-1336,0.43,0.89,3.88,6.99,0.4831,0.2294,0.5551,237.1033,-13.7576
15457+2847,0.25,0.25,0.88,2.64,1.0000,0.2841,0.3333,236.9445,28.6405
15459-2017,10.94,2.98,0.66,1.77,3.6711,4.5152,0.3729,237.2215,-20.4475
15462-4010,0.35,0.36,0.96,3.71,0.9722,0.3750,0.2588,237.4080,-40.3273
15464+2201,0.28,0.25,1.17,3.55,1.1200,0.2137,0.3296,237.1701,21.8688
15465+0722,0.25,0.25,0.53,1.63,1.0000,0.4717,0.3252,237.2371,7.2206
15467+4208,0.25,0.25,0.61,1.39,1.0000,0.4098,0.4388,237.1066,41.9821
15467-2914,1.21,4.87,36.57,59.47,0.2485,0.1332,0.6149,237.4557,-29.3869
15468+5552,0.25,0.25,0.54,1.05,1.0000,0.4630,0.5143,237.0153,55.7190
15469-2053,0.28,0.36,0.79,3.01,0.7778,0.4557,0.2625,237.4758,-21.0495
15471-7440,0.25,0.28,0.65,2.31,0.8929,0.4308,0.2814,238.2827,-74.8240
15471-2329,0.25,0.39,1.58,3.82,0.6410,0.2468,0.4136,237.5253,-23.6416
15477+6937,0.39,0.25,0.47,1.11,1.5600,0.5319,0.4234,236.9562,69.4677
15479-6239,0.79,0.56,0.43,19.83,1.4107,1.3023,0.0217,238.0862,-62.8125
15480+6822,0.25,0.26,0.80,2.20,0.9615,0.3250,0.3636,237.0707,68.2197
15481+1905,0.26,0.25,1.08,3.22,1.0400,0.2315,0.3354,237.5958,18.9386
15482-7435,0.83,0.29,0.34,4.41,2.8621,0.8529,0.0771,238.5685,-74.7417
15483+4227,0.35,0.25,0.38,1.00,1.4000,0.6579,0.3800,237.5190,42.3083
15483+2032,0.25,0.25,0.40,1.16,1.0000,0.6250,0.3448,237.6524,20.3838
15485+6935,0.28,0.25,0.82,0.93,1.1200,0.3049,0.8817,237.1639,69.4424
15492+4837,199.31,97.09,16.70,5.97,2.0528,5.8138,2.7973,237.6915,48.4824
15492-6132,0.39,0.25,1.62,12.65,1.5600,0.1543,0.1281,238.3965,-61.6829
15492-3842,0.26,0.41,3.38,8.26,0.6341,0.1213,0.4092,238.1524,-38.8506
15495+5545,0.25,0.25,0.77,1.90,1.0000,0.3247,0.4053,237.6775,55.6114
15496+4724,0.38,0.44,3.65,10.20,0.8636,0.1205,0.3578,237.8041,47.2537
15497+7123,0.25,0.25,0.75,0.93,1.0000,0.3333,0.8065,237.3755,71.2467
15497-6834,0.25,0.33,1.42,3.72,0.7576,0.2324,0.3817,238.6916,-68.7159
15500-2428,0.27,0.42,1.08,14.55,0.6429,0.3889,0.0742,238.2709,-24.6210
15502-0022,0.25,0.43,0.78,1.79,0.5814,0.5513,0.4358,238.2030,-0.5236
15505+6113,0.25,0.25,0.50,1.35,1.0000,0.5000,0.3704,237.8492,61.0792
15506+6227,0.25,0.20,3.18,10.80,1.2500,0.0629,0.2944,237.8545,62.3090
15507+2114,0.25,0.25,0.60,2.01,1.0000,0.4167,0.2985,238.2335,21.0976
15510+1206,0.25,0.25,0.74,2.00,1.0000,0.3378,0.3700,238.3508,11.9585
16558+4657,0.61,0.25,0.70,2.22,2.4400,0.3571,0.3153,254.3170,46.8753
16560+2303,0.25,0.25,0.92,3.12,1.0000,0.2717,0.2949,254.5385,22.9840
16561+2959,0.37,0.25,0.76,2.29,1.4800,0.3289,0.3319,254.5347,29.9102
16563+2006,0.25,0.25,0.70,2.11,1.0000,0.3571,0.3318,254.6265,20.0413
16569+8105,0.25,0.12,1.70,3.79,2.0833,0.0706,0.4485,253.1794,81.0053
